label;English;English (Europe);German;Spanish;Spanish (US);French;French (US);Italian;Dutch;Chinese;Chinese (Traditional);Japanese;Korean;Russian
Insect_00582;brown cicada;brown cicada;Braunzikade;cigarra marrón;cigarra marrón;cigale cercope;cigale cercope;cicala marrone;bruine cicade;油蝉;油蟬;アブラゼミ;유지매미;коричневая цикада
Insect_00583;tiger butterfly;tiger butterfly;Schwalbenschwanz;mariposa tigre;mariposa tigre;machaon;machaon;farfalla tigre;koninginnenpage;凤蝶;鳳蝶;アゲハチョウ;호랑나비;махаон
Insect_00584;Rajah Brooke's birdwing;Rajah Brooke's birdwing;Troides brookiana;mariposa alas de Brooke;mariposa alas de Brooke;troides brookiana;troides brookiana;farfalla Raja Brooke;Rajah Brooke-vlinder;红颈凤蝶;紅頸鳳蝶;アカエリトリバネアゲハ;붉은목도리비단나비;трогоноптера Брука
Insect_00585;red dragonfly;red dragonfly;Feuerlibelle;libélula roja;libélula roja;sympetrum;libellule rouge;libellula rossa;rode libel;红蜻蜓;紅蜻蜓;アキアカネ;고추잠자리;красная стрекоза
Insect_00586;Queen Alexandra's birdwing;Queen Alexandra's birdwing;Vogelfalter;mariposa alas de pájaro;mariposa alas de pájaro;troides alexandrae;troides alexandrae;farfalla regina Alessandra;Alexandra's vogelvlinder;亚历山大凤蝶;亞歷山大鳳蝶;アレキサンドラトリバネアゲハ;알렉산드라비단제비나비;птицекрылка Александры
Insect_00587;pondskater;pondskater;Wasserläufer;zapatero;zapatero;patineur;patineur;gerride;schaatsenrijder;水黾;水黽;アメンボ;소금쟁이;водомерка
Insect_00588;ant;ant;Ameise;hormiga;hormiga;fourmi;fourmi;formica;mier;蚂蚁;螞蟻;アリ;개미;муравей
Insect_00590;pill bug;pill bug;Kugelassel;cochinilla;cochinilla;cloporte;cloporte;porcellino di terra;rolpissebed;鼠妇;鼠婦;ダンゴムシ;공벌레;мокрица
Insect_00591;wharf roach;wharf roach;Ligia exotica;cochinilla de arena;cochinilla de arena;ligie;ligie;ligia exotica;strandpissebed;海蟑螂;海蟑螂;フナムシ;갯강구;морской таракан
Insect_00592;moth;moth;Motte;polilla;polilla;papillon de nuit;papillon de nuit;falena;mot;飞蛾;飛蛾;ガ;나방;павлиноглазка
