label;English;English (Europe);German;Spanish;Spanish (US);French;French (US);Italian;Dutch;Chinese;Chinese (Traditional);Japanese;Korean;Russian
DiveFish_02620;seaweed;seaweed;Wakame-Alge;alga wakame;alga wakame;wakame;wakamé;alga wakame;zeewier;裙带菜;裙帶菜;ワカメ;미역;морские водоросли
DiveFish_02830;sea grapes;sea grapes;Kriechsprossalge;uva de mar;uva de mar;algue raisin de mer;algue raisin de mer;vite di mare;zeedruiven;海葡萄;海葡萄;ウミブドウ;바다포도;морской виноград
DiveFish_02831;sea urchin;sea urchin;Seeigel;erizo de mar;erizo de mar;oursin;oursin;riccio di mare;zee-egel;海胆;海膽;ウニ;성게;морской еж
DiveFish_02832;acorn barnacle;acorn barnacle;Seepocke;bellota de mar;bellota de mar;balane;balane;dente di cane;zeepok;藤壶;藤壺;フジツボ;따개비;морской желудь
DiveFish_02833;oyster;oyster;Auster;ostra;ostra;huître;huître;ostrica;oester;牡蛎;牡蠣;オイスター;굴;устрица
DiveFish_02834;turban shell;turban shell;Turbanschnecke;caracola espinosa;caracola espinosa;turbo;turbo;lumaca turbante;tulbandschelp;角蝾螺;角蠑螺;サザエ;소라;рогатый тюрбан
DiveFish_02835;abalone;abalone;Seeohr;abulón;abulón;ormeau;ormeau;abalone;abalone;鲍鱼;鮑魚;アワビ;전복;абалон
DiveFish_02838;pearl oyster;pearl oyster;Perlmuschel;ostra perlera;ostra perlera;huître perlière;huître perlière;ostrica pinctada;pareloester;马氏珠母贝;珠母蛤;アコヤガイ;진주조개;жемчужница
DiveFish_02839;scallop;scallop;Kammmuschel;vieira;vieira;pétoncle;pétoncle;capasanta;mantelschelp;虾夷扇贝;帆立貝;ホタテ;가리비;гребешок
DiveFish_02840;sea anemone;sea anemone;Seeanemone;anémona;anémona;anémone de mer;anémone de mer;anemone di mare;zeeanemoon;海葵;海葵;イソギンチャク;말미잘;актиния
DiveFish_02841;sea star;sea star;Seestern;estrella de mar;estrella de mar;étoile de mer;étoile de mer;stella marina;zeester;海星;海星;ヒトデ;불가사리;морская звезда
DiveFish_02842;sea cucumber;sea cucumber;Seegurke;pepino de mar;pepino de mar;concombre de mer;concombre de mer;cetriolo di mare;zeekomkommer;海参;海參;ナマコ;해삼;морской огурец
DiveFish_02843;sea slug;sea slug;Nacktkiemer;babosa de mar;babosa de mar;limace de mer;limace de mer;nudibranchi;zeeslak;海蛞蝓;海蛞蝓;ウミウシ;갯민숭달팽이;голожаберник
DiveFish_02844;flatworm;flatworm;Meerstrudelwurm;gusano políclado;gusano políclado;ver plat;ver plat;verme piatto;platworm;海扁虫;海扁蟲;ヒラムシ;납작벌레;плоский червь
DiveFish_02845;mantis shrimp;mantis shrimp;Fangschreckenkrebs;langosta mantis;langosta mantis;crevette-mante;crevette-mante;gambero mantide;mantisgarnaal;虾蛄;蝦蛄;シャコ;갯가재;рак-богомол
DiveFish_02846;sweet shrimp;sweet shrimp;Botan-Garnele;camarón boreal;camarón boreal;crevette nordique;crevette nordique;gamberetto boreale;Noorse garnaal;甜虾;甜蝦;アマエビ;북쪽분홍새우;северная креветка
DiveFish_02847;tiger prawn;tiger prawn;Kuruma-Garnele;langostino tigre;langostino tigre;crevette tigrée;crevette tigrée;gambero black tiger;tijgergarnaal;日本对虾;日本囊對蝦;クルマエビ;보리새우;тигровая креветка
DiveFish_02848;spiny lobster;spiny lobster;Languste;langosta espinosa;langosta espinosa;langouste;langouste;aragosta mediterranea;langoest;伊势龙虾;伊勢龍蝦;イセエビ;닭새우;колючий лангуст
DiveFish_02849;lobster;lobster;Hummer;bogavante;bogavante;homard;homard;astice;kreeft;龙虾;螯龍蝦;ロブスター;바닷가재;омар
DiveFish_02850;snow crab;snow crab;Schneekrabbe;cangrejo de nieve;cangrejo de nieve;crabe des neiges;crabe des neiges;granchio della neve;sneeuwkrab;松叶蟹;松葉蟹;ズワイガニ;대게;краб-стригун
