label;English;English (Europe);German;Spanish;Spanish (US);French;French (US);Italian;Dutch;Chinese;Chinese (Traditional);Japanese;Korean;Russian
Fossil_00169;ankylo skull;ankylo skull;Ankylosaurus-Schädel;cráneo anquilosaurio;cráneo anquilosaurio;crâne d'ankylosaure;crâne d'ankylosaure;cranio anchilosauro;ankylosauruskop;甲龙的头;甲龍的頭;アンキロサウルスのあたま;안킬로사우루스의 머리;череп анкилозавра
Fossil_00170;ankylo torso;ankylo torso;Ankylosaurus-Torso;cuerpo anquilosaurio;cuerpo anquilosaurio;torse d'ankylosaure;torse d'ankylosaure;torso anchilosauro;ankylosaurusromp;甲龙的身体;甲龍的身體;アンキロサウルスのからだ;안킬로사우루스의 몸통;торс анкилозавра
Fossil_00171;ankylo tail;ankylo tail;Ankylosaurus-Schwanz;cola anquilosaurio;cola anquilosaurio;queue d'ankylosaure;queue d'ankylosaure;coda anchilosauro;ankylosaurusstaart;甲龙的尾巴;甲龍的尾巴;アンキロサウルスのしっぽ;안킬로사우루스의 꼬리;хвост анкилозавра
Fossil_00177;archelon skull;archelon skull;Archelon-Vorderteil;cuerpo archelon;cuerpo archelon;crâne d'archélon;crâne d'archélon;cranio archelone;archelonkop;帝龟的头;帝龜的頭;アーケロンのあたま;아르켈론의 머리;череп архелона
Fossil_00178;archelon tail;archelon tail;Archelon-Hinterteil;cola archelon;cola archelon;queue d'archélon;queue d'archélon;coda archelone;archelonstaart;帝龟的身体;帝龜的身體;アーケロンのからだ;아르켈론의 몸통;хвост архелона
Fossil_00180;megacero skull;megacero skull;Megacerops-Schädel;cráneo brontoterio;cráneo brontoterio;crâne de brontothérium;crâne de brontothérium;cranio brontoterio;brontopskop;巨角犀的头;巨角犀的頭;メガセロプスのあたま;메가케롭스의 머리;череп бронтотерия
Fossil_00181;megacero torso;megacero torso;Megacerops-Torso;cuerpo brontoterio;cuerpo brontoterio;corps de brontothérium;corps de brontothérium;torso brontoterio;brontopsromp;巨角犀的身体;巨角犀的身體;メガセロプスのからだ;메가케롭스의 몸통;торс бронтотерия
Fossil_00182;megacero tail;megacero tail;Megacerops-Schwanz;cola brontoterio;cola brontoterio;queue de brontothérium;queue de brontothérium;coda brontoterio;brontopsstaart;巨角犀的尾巴;巨角犀的尾巴;メガセロプスのしっぽ;메가케롭스의 꼬리;хвост бронтотерия
Fossil_00184;dimetrodon skull;dimetrodon skull;Dimetrodon-Schädel;cráneo dimetrodonte;cráneo dimetrodonte;crâne de dimétrodon;crâne de dimétrodon;cranio dimetrodonte;dimetrodonkop;异齿龙的头;異齒龍的頭;ディメトロドンのあたま;디메트로돈의 머리;череп диметродона
Fossil_00185;dimetrodon torso;dimetrodon torso;Dimetrodon-Torso;cuerpo dimetrodonte;cuerpo dimetrodonte;corps de dimétrodon;corps de dimétrodon;torso dimetrodonte;dimetrodonromp;异齿龙的身体;異齒龍的身體;ディメトロドンのからだ;디메트로돈의 몸통;торс диметродона
Fossil_00188;iguanodon skull;iguanodon skull;Iguanodon-Schädel;cráneo iguanodonte;cráneo iguanodonte;crâne d'iguanodon;crâne d'iguanodon;cranio iguanodonte;iguanodonkop;禽龙的头;禽龍的頭;イグアノドンのあたま;이구아노돈의 머리;череп игуанодона
Fossil_00189;iguanodon torso;iguanodon torso;Iguanodon-Torso;cuerpo iguanodonte;cuerpo iguanodonte;torse d'iguanodon;torse d'iguanodon;torso iguanodonte;iguanodonromp;禽龙的身体;禽龍的身體;イグアノドンのからだ;이구아노돈의 몸통;торс игуанодона
Fossil_00190;iguanodon tail;iguanodon tail;Iguanodon-Schwanz;cola iguanodonte;cola iguanodonte;queue d'iguanodon;queue d'iguanodon;coda iguanodonte;iguanodonstaart;禽龙的尾巴;禽龍的尾巴;イグアノドンのしっぽ;이구아노돈의 꼬리;хвост игуанодона
Fossil_00192;ophthalmo skull;ophthalmo skull;Ophthalmosaurus-Schädel;cráneo oftalmosaurio;cráneo oftalmosaurio;crâne d'ophtalmosaure;crâne d'ophtalmosaure;cranio oftalmosauro;ophthalmosauruskop;大眼鱼龙的头;大眼魚龍的頭;オフタルモサウルスのあたま;오프탈모사우루스의 머리;череп офтальмозавра
Fossil_00193;ophthalmo torso;ophthalmo torso;Ophthalmosaurus-Torso;cuerpo oftalmosaurio;cuerpo oftalmosaurio;corps d'ophtalmosaure;corps d'ophtalmosaure;torso oftalmosauro;ophthalmosaurusstaart;大眼鱼龙的身体;大眼魚龍的身體;オフタルモサウルスのからだ;오프탈모사우루스의 몸통;торс офтальмозавра
Fossil_00195;mammoth skull;mammoth skull;Mammut-Schädel;cráneo mamut;cráneo mamut;crâne de mammouth;crâne de mammouth;cranio mammut;mammoetkop;长毛象的头;長毛象的頭;マンモスのあたま;매머드의 머리;череп мамонта
Fossil_00196;mammoth torso;mammoth torso;Mammut-Torso;cuerpo mamut;cuerpo mamut;corps de mammouth;corps de mammouth;torso mammut;mammoetromp;长毛象的身体;長毛象的身體;マンモスのからだ;매머드의 몸통;торс мамонта
Fossil_00198;pachy skull;pachysaurus skull;Pachysaurus-Vorderteil;cuerpo paquicefalosaurio;cuerpo paquicefalosaurio;crâne de pachycéphal;crâne de pachycéphal;cranio pachicefalosauro;pachycephalosauruskop;厚头龙的头;厚頭龍的頭;パキケファロのあたま;파키케팔로사우루스의 머리;череп пахицефалозавра
Fossil_00199;pachy tail;pachysaurus tail;Pachysaurus-Hinterteil;cola paquicefalosaurio;cola paquicefalosaurio;queue de pachycéphal;queue de pachycéphal;coda pachicefalosauro;pachycephalosaurusstaart;厚头龙的身体;厚頭龍的身體;パキケファロのからだ;파키케팔로사우루스의 몸통;хвост пахицефалозавра
Fossil_00202;parasaur skull;parasaur skull;Parasaurus-Schädel;cráneo parasaurio;cráneo parasaurio;crâne de parasaurolophus;crâne de parasaurolophus;cranio parasauro;parasaurolophuskop;副栉龙的头;副櫛龍的頭;パラサウロロフスのあたま;파라사우롤로푸스의 머리;череп паразауролофа
Fossil_00203;parasaur torso;parasaur torso;Parasaurus-Torso;cuerpo parasaurio;cuerpo parasaurio;torse de parasaurolophus;torse de parasaurolophus;torso parasauro;parasaurolophusromp;副栉龙的身体;副櫛龍的身體;パラサウロロフスのからだ;파라사우롤로푸스의 몸통;торс паразауролофа
Fossil_00204;parasaur tail;parasaur tail;Parasaurus-Schwanz;cola parasaurio;cola parasaurio;queue de parasaurolophus;queue de parasaurolophus;coda parasauro;parasaurolophusstaart;副栉龙的尾巴;副櫛龍的尾巴;パラサウロロフスのしっぽ;파라사우롤로푸스의 꼬리;хвост паразауролофа
Fossil_00206;ptera body;ptera body;Pteranodon-Torso;cuerpo pteranodonte;cuerpo pteranodonte;corps de ptéranodon;corps de ptéranodon;torso pteranodonte;pteranodonkop & -⁠romp;无齿翼龙的头;無齒翼龍的頭;プテラノドンのあたま;프테라노돈의 머리;торс птеранодона
Fossil_00207;right ptera wing;right ptera wing;Pteranodon-Flügel (R);ala derecha pteranodonte;ala derecha pteranodonte;aile droite de ptéranodon;aile droite de ptéranodon;ala destra pteranodonte;pteranodonvleugel (r);无齿翼龙的右翼;無齒翼龍的右翼;プテラノドンのうよく;프테라노돈의 오른날개;п. крыло птеранодона
Fossil_00208;left ptera wing;left ptera wing;Pteranodon-Flügel (L);ala izquierda pteranodonte;ala izquierda pteranodonte;aile gauche de ptéranodon;aile gauche de ptéranodon;ala sinistra pteranodonte;pteranodonvleugel (l);无齿翼龙的左翼;無齒翼龍的左翼;プテラノドンのさよく;프테라노돈의 왼날개;л. крыло птеранодона
