label;English;English (Europe);German;Spanish;Spanish (US);French;French (US);Italian;Dutch;Chinese;Chinese (Traditional);Japanese;Korean;Russian
InsectToy_05922;saw stag model;saw stag model;Sägez.-Hirschkäfermodell;figura esc. ciervo sierra;figura esc. ciervo sierra;modèle de lucane inclinatus;modèle de lucane inclinatus;replica di coleottero cervo;modelzaaghertkever;锯锹形虫模型;鋸鍬形蟲模型;ノコギリクワガタのもけい;톱사슴벌레 모형;модель жука-оленя
InsectToy_05924;grand h. hercules model;grand h. hercules model;Mega-Herkuleskäf.-Modell;estatua es. astado hércules;estatua es. astado hércules;modèle du Roi Dynaste;modèle du Roi Dynaste;replica XL scarabeo Ercole;modelherculeskever XL;巨大兜虫模型;巨大獨角仙模型;おおいなるカブトのもけい;위대한 장수풍뎅이 모형;модель жука-геркулеса
InsectToy_05927;wasp model;wasp model;Wespenmodell;figura de avispa;figura de avispa;modèle de guêpe;modèle de guêpe;replica di vespa;modelwesp;黄蜂模型;黃蜂模型;ハチのもけい;벌 모형;модель осы
InsectToy_05928;honeybee model;honeybee model;Honigbienenmodell;figura de abeja melífera;figura de abeja melífera;modèle d'abeille naine;modèle d'abeille naine;replica di ape operaia;modelhoningbij;蜜蜂模型;蜜蜂模型;ミツバチのもけい;꿀벌 모형;модель восковой пчелы
InsectToy_05929;scarab beetle model;scarab beetle model;Goldskarabäusmodell;figura de escarabajo oro;figura de escarabajo oro;modèle de scarabée;modèle de scarabée;replica di chrysina resplen.;modelscarabee;宝石金龟模型;寶石金龜模型;プラチナコガネのもけい;보석풍뎅이 모형;модель золотого скарабея
InsectToy_05935;flea model;flea model;Flohmodell;figura de pulga;figura de pulga;modèle de puce;modèle de puce;replica di pulce;modelvlo;跳蚤模型;跳蚤模型;ノミのもけい;벼룩 모형;модель блохи
InsectToy_05936;mosquito model;mosquito model;Mückenmodell;figura de mosquito;figura de mosquito;modèle de moustique;modèle de moustique;replica di zanzara;modelmug;蚊子模型;蚊子模型;カのもけい;모기 모형;модель комара
InsectToy_05938;horned dynastid model;horned dynastid model;Nashornkäfermodell;figura esc. astado japonés;figura esc. astado japonés;modèle de scarabée kabuto;modèle de scarabée kabuto;replica scarab. kabutomushi;modelneushoornkever;独角仙模型;獨角仙模型;カブトムシのもけい;장수풍뎅이 모형;модель дупляка
InsectToy_05944;tiger butterfly model;tiger butterfly model;Schwalbenschwanzmodell;figura de mariposa tigre;figura de mariposa tigre;modèle de machaon;modèle de machaon;replica di farfalla tigre;modelkoninginnenpage;凤蝶模型;鳳蝶模型;アゲハチョウのもけい;호랑나비 모형;модель махаона
InsectToy_07046;brown cicada model;brown cicada model;Braunzikadenmodell;figura de cigarra marrón;figura de cigarra marrón;modèle de cigale cercope;modèle de cigale cercope;replica di cicala marrone;model-bruine-cicade;油蝉模型;油蟬模型;アブラゼミのもけい;유지매미 모형;модель коричнев. цикады
