label;English;English (Europe);German;Spanish;Spanish (US);French;French (US);Italian;Dutch;Chinese;Chinese (Traditional);Japanese;Korean;Russian
Bush_02860;young white azalea;young white azalea;Gartenazaleenbüschlein;azalea blanca joven;azalea blanca joven;jeune azalée blanche;jeune azalée blanche;azalea bianca giovane;jonge witte azalea;白色杜鹃花小树;白色杜鵑花小樹;しろいツツジのわかぎ;어린 하얀 진달래나무;кустик белой азалии
Bush_02861;white-azalea bush;white-azalea bush;Gartenazalee;azalea blanca adulta;azalea blanca adulta;buisson d'azalée blanche;buisson d'azalée blanche;azalea bianca adulta;witte azalea⁠;白色杜鹃花树;白色杜鵑花樹;しろいツツジのき;하얀 진달래나무;куст белой азалии
Bush_03021;young red hibiscus;young red hibiscus;Bluthibiskusbüschlein;hibisco rojo joven;hibisco rojo joven;jeune hibiscus rouge;jeune hibiscus rouge;ibisco rosso giovane;jonge rode hibiscus;红色扶桑花小树;紅色扶桑花小樹;あかいハイビスカスのわかぎ;어린 빨간 히비스커스나무;кустик красн. гибискуса
Bush_03022;red-hibiscus bush;red-hibiscus bush;Bluthibiskus;hibisco rojo adulto;hibisco rojo adulto;buisson d'hibiscus rouge;buisson d'hibiscus rouge;ibisco rosso adulto;rode hibiscus;红色扶桑花树;紅色扶桑花樹;あかいハイビスカスのき;빨간 히비스커스나무;куст красного гибискуса
Bush_03026;young holly;young holly;Stechpalmenbüschlein;acebo joven;acebo joven;jeune houx;jeune houx;agrifoglio giovane;jonge hulst;柊树小树;柊樹小樹;ヒイラギのわかぎ;어린 호랑가시나무;кустик остролиста
Bush_03027;holly bush;holly bush;Stechpalme;acebo adulto;acebo adulto;buisson de houx;buisson de houx;agrifoglio adulto;hulst;柊树;柊樹;ヒイラギのき;호랑가시나무;куст остролиста
Bush_03787;young pink azalea;young pink azalea;Heckenazaleenbüschlein;azalea rosa joven;azalea rosa joven;jeune azalée rose;jeune azalée rose;azalea rosa giovane;jonge roze azalea;粉红杜鹃花小树;粉紅杜鵑花小樹;ピンクのツツジのわかぎ;어린 핑크색 진달래나무;кустик розовой азалии
Bush_03788;pink-azalea bush;pink-azalea bush;Heckenazalee;azalea rosa adulta;azalea rosa adulta;buisson d'azalée rose;buisson d'azalée rose;azalea rosa adulta;roze azalea⁠;粉红杜鹃花树;粉紅杜鵑花樹;ピンクのツツジのき;핑크색 진달래나무;куст розовой азалии
Bush_03791;young yellow hibiscus;young yellow hibiscus;Sommerhibiskusbüschlein;hibisco amarillo joven;hibisco amarillo joven;jeune hibiscus jaune;jeune hibiscus jaune;ibisco giallo giovane;jonge gele hibiscus;黄色扶桑花小树;黃色扶桑花小樹;きいろいハイビスカスのわかぎ;어린 노란 히비스커스나무;кустик желтого гибискуса
Bush_03792;yellow-hibiscus bush;yellow-hibiscus bush;Sommerhibiskus;hibisco amarillo adulto;hibisco amarillo adulto;buisson d'hibiscus jaune;buisson d'hibiscus jaune;ibisco giallo adulto;gele hibiscus;黄色扶桑花树;黃色扶桑花樹;きいろいハイビスカスのき;노란 히비스커스나무;куст желтого гибискуса
Bush_03795;young pink hydrangea;young pink hydrangea;Abendhortensienbüschlein;hortensia rosa joven;hortensia rosa joven;jeune hortensia rose;jeune hortensia rose;ortensia viola giovane;jonge roze hortensia;粉红绣球花小树;粉紅繡球花小樹;ピンクのアジサイのわかぎ;어린 핑크색 수국나무;кустик розовой гортензии
Bush_03796;pink-hydrangea bush;pink-hydrangea bush;Abendhortensie;hortensia rosa adulta;hortensia rosa adulta;buisson d'hortensia rose;buisson d'hortensia rose;ortensia viola adulta;roze hortensia;粉红绣球花树;粉紅繡球花樹;ピンクのアジサイのき;핑크색 수국나무;куст розовой гортензии
Bush_03799;young blue hydrangea;young blue hydrangea;Seehortensienbüschlein;hortensia azul joven;hortensia azul joven;jeune hortensia bleu;jeune hortensia bleu;ortensia blu giovane;jonge blauwe hortensia;蓝色绣球花小树;藍色繡球花小樹;あおいアジサイのわかぎ;어린 파란 수국나무;кустик синей гортензии
Bush_03800;blue-hydrangea bush;blue-hydrangea bush;Seehortensie;hortensia azul adulta;hortensia azul adulta;buisson d'hortensia bleu;buisson d'hortensia bleu;ortensia blu adulta;blauwe hortensia;蓝色绣球花树;藍色繡球花樹;あおいアジサイのき;파란 수국나무;куст синей гортензии
Bush_12477;young yellow tea olive;young yellow tea olive;Gelb-Duftblütenbüschlein;olivo oloroso amarillo joven;olivo oloroso amarillo joven;jeune osmanthus jaune;jeune osmanthus jaune;osmanto giallo giovane;jonge gele schijnhulst;黄色桂花小树;黃色桂花小樹;きいろいキンモクセイのわかぎ;어린 노란 금목서나무;кустик желтого османтуса
Bush_12478;yellow-tea-olive bush;yellow-tea-olive bush;Gelb-Duftblütenbusch;olivo olor. amarillo adulto;olivo olor. amarillo adulto;buisson d'osmanthus jaune;buisson d'osmanthus jaune;osmanto giallo adulto;gele schijnhulst;黄色桂花树;黃色桂花樹;きいろいキンモクセイのき;노란 금목서나무;куст желтого османтуса
