label;English;English (Europe);German;Spanish;Spanish (US);French;French (US);Italian;Dutch;Chinese;Chinese (Traditional);Japanese;Korean;Russian
Turnip_02632;10 turnips;10 turnips;10 Rüben;manojo 10 nabos;manojo 10 nabos;lot de 10 navets;lot de 10 navets;mazzo di 10 rape;10 knollen;10棵大头菜;10棵;10カブ;10무;10 реп
Turnip_02633;20 turnips;20 turnips;20 Rüben;manojo 20 nabos;manojo 20 nabos;lot de 20 navets;lot de 20 navets;mazzo di 20 rape;20 knollen;20棵大头菜;20棵;20カブ;20무;20 реп
Turnip_02634;30 turnips;30 turnips;30 Rüben;manojo 30 nabos;manojo 30 nabos;lot de 30 navets;lot de 30 navets;mazzo di 30 rape;30 knollen;30棵大头菜;30棵;30カブ;30무;30 реп
Turnip_02635;40 turnips;40 turnips;40 Rüben;manojo 40 nabos;manojo 40 nabos;lot de 40 navets;lot de 40 navets;mazzo di 40 rape;40 knollen;40棵大头菜;40棵;40カブ;40무;40 реп
Turnip_02636;50 turnips;50 turnips;50 Rüben;manojo 50 nabos;manojo 50 nabos;lot de 50 navets;lot de 50 navets;mazzo di 50 rape;50 knollen;50棵大头菜;50棵;50カブ;50무;50 реп
Turnip_02637;60 turnips;60 turnips;60 Rüben;manojo 60 nabos;manojo 60 nabos;lot de 60 navets;lot de 60 navets;mazzo di 60 rape;60 knollen;60棵大头菜;60棵;60カブ;60무;60 реп
Turnip_02638;70 turnips;70 turnips;70 Rüben;manojo 70 nabos;manojo 70 nabos;lot de 70 navets;lot de 70 navets;mazzo di 70 rape;70 knollen;70棵大头菜;70棵;70カブ;70무;70 реп
Turnip_02639;80 turnips;80 turnips;80 Rüben;manojo 80 nabos;manojo 80 nabos;lot de 80 navets;lot de 80 navets;mazzo di 80 rape;80 knollen;80棵大头菜;80棵;80カブ;80무;80 реп
Turnip_02640;90 turnips;90 turnips;90 Rüben;manojo 90 nabos;manojo 90 nabos;lot de 90 navets;lot de 90 navets;mazzo di 90 rape;90 knollen;90棵大头菜;90棵;90カブ;90무;90 реп
Turnip_02641;100 turnips;100 turnips;100 Rüben;manojo 100 nabos;manojo 100 nabos;lot de 100 navets;lot de 100 navets;mazzo di 100 rape;100 knollen;100棵大头菜;100棵;100カブ;100무;100 реп
TurnipExpired_02642;spoiled turnips;spoiled turnips;Rüben (verdorben);manojo pasado;manojo pasado;lot de navets pourris;lot de navets pourris;mazzo di rape marce;bedorven knollen;坏掉的大头菜;壞掉的大頭菜;くさったカブ;썩은 무;гнилые репы
