label;English;English (Europe);German;Spanish;Spanish (US);French;French (US);Italian;Dutch;Chinese;Chinese (Traditional);Japanese;Korean;Russian
Balloon_07869;blue balloon;blue balloon;Ballon (blau);globo azul;globo azul;ballon de baudruche bleu;ballon bleu;palloncino blu;blauwe ballon;蓝色气球;藍色氣球;あおいふうせん;파란색 풍선;синий шарик
Balloon_13123;red balloon;red balloon;Ballon (rot);globo rojo;globo rojo;ballon de baudruche rouge;ballon rouge;palloncino rosso;rode ballon;红色气球;紅色氣球;あかいふうせん;빨간색 풍선;красный шарик
Balloon_13124;yellow balloon;yellow balloon;Ballon (gelb);globo amarillo;globo amarillo;ballon de baudruche jaune;ballon jaune;palloncino giallo;gele ballon;黄色气球;黃色氣球;きいろのふうせん;노란색 풍선;желтый шарик
Balloon_13125;green balloon;green balloon;Ballon (grün);globo verde;globo verde;ballon de baudruche vert;ballon vert;palloncino verde;groene ballon;绿色气球;綠色氣球;みどりのふうせん;초록색 풍선;зеленый шарик
Balloon_13126;pink balloon;pink balloon;Ballon (rosa);globo rosa;globo rosa;ballon de baudruche rose;ballon rose;palloncino rosa;roze ballon;粉红色气球;粉紅色氣球;ピンクのふうせん;핑크색 풍선;розовый шарик
BigbagPresent_13836;magic bag;magic bag;Geschenkesack;saco de regalos;bolsa de regalos;sac à cadeaux;sac à cadeaux;sacco dei regali;pakjeszak;礼物袋;禮物袋;プレゼントぶくろ;선물 보따리;волшебный мешок
BlowBubble_04386;bubble blower;bubble blower;Seifenblasenset;lanzapompas;lanzaburbujas;lance-bulles;lance-bulles;sparabolle;flesje bellenblaas;肥皂泡;肥皂泡;シャボンだま;비눗방울;набор для пузырей
BlowBubble_04386_pl;bubble blowers;bubble blowers;Seifenblasensets;lanzapompas;lanzaburbujas;lance-bulles;lance-bulles;sparabolle;flesjes bellenblaas;肥皂泡;肥皂泡;シャボンだま;비눗방울;наборы для пузырей
DummyCardboard_04645;delivery;delivery;Lieferung;paquete;paquete;livraison;livraison;consegna;pakketje;包裹;包裹;おとどけもの;소포;посылка
DummyDIYRecipe_09046;Vaulting Pole Recipe;Vaulting Pole Recipe;Anleitung (Sprungstab);proyecto pértiga;proyecto garrocha;plan de perche;plan de perche;schema asta da salto;polsstokplan;撑杆跳竿子的DIY手册;撐竿跳竿子的DIY方程式;たかとびぼうのDIYレシピ;높이뛰기 장대 DIY 레시피;инструкция: шест
DummyDIYRecipe_09047;Flimsy Shovel Recipe;Flimsy Shovel Recipe;Anleitung (Wackelschaufel);proyecto pala endeble;proyecto pala frágil;plan de pelle rudimentaire;plan de pelle rudimentaire;schema pala fragile;breekbare-schep-plan;简陋铲子的DIY手册;簡陋鏟子的DIY方程式;ショボいスコップのDIYレシピ;엉성한 삽 DIY 레시피;инструкция: непр. лопата
DummyDIYRecipe_09048;Flimsy Watering Can Recipe;Flimsy Watering Can Recipe;Anleitung (Wackelgießk.);proyecto regadera endeble;proyecto regadera frágil;plan d'arrosoir rudimentaire;plan d'arrosoir rudimentaire;schema annaffiatoio fragile;breekbare-gieter-plan;简陋浇花壶的DIY手册;簡陋澆花壺的DIY方程式;ショボいジョウロのDIYレシピ;엉성한 물뿌리개 DIY 레시피;инструкция: непр. лейка
