label;English;English (Europe);German;Spanish;Spanish (US);French;French (US);Italian;Dutch;Chinese;Chinese (Traditional);Japanese;Korean;Russian
BdayCupcake_02779;birthday cupcake;birthday cupcake;Geburtstags-Cupcake;pastelito de cumpleaños;pastelito de cumpleaños;cupcake d'anniversaire;cupcake de fête;cupcake di compleanno;verjaardagscupcake;生日纸杯蛋糕;生日紙杯蛋糕;バースデーカップケーキ;생일 컵케이크;именинный кекс
BdayCupcake_02779_pl;birthday cupcakes;birthday cupcakes;Geburtstags-Cupcakes;pastelitos de cumpleaños;pastelitos de cumpleaños;cupcakes d'anniversaire;cupcakes de fête;cupcake di compleanno;verjaardagscupcakes;生日纸杯蛋糕;生日紙杯蛋糕;バースデーカップケーキ;생일 컵케이크;именинные кексы
Candy_13196;lollipop;lollipop;Lolli;piruleta;paleta;sucette;suçon;lecca-lecca;lolly;棒棒糖;棒棒糖;ロリポップ;롤리팝;леденец на палочке
Candy_13196_pl;lollipops;lollipops;Lollis;piruletas;paletas;sucettes;suçons;lecca-lecca;lolly's;棒棒糖;棒棒糖;ロリポップ;롤리팝;леденцы на палочке
Candy_13197;candy;candy;Bonbon;chuche;dulce;bonbon;bonbon;dolcetto;snoepje;糖果;糖果;アメ;사탕;конфета
Candy_13197_pl;candy;candy;Bonbons;chuches;dulces;bonbons;bonbons;dolcetti;snoepjes;糖果;糖果;アメ;사탕;конфеты
EasterEgg_12509;earth egg;earth egg;Erd-Glücksei;huevo terrestre;huevo terrestre;œuf terrestre;œuf terrestre;uovo terrestre;aarde-ei;地面蛋;地面蛋;じめんのたまご;땅 달걀;земляное яйцо
EasterEgg_12509_pl;earth eggs;earth eggs;Erd-Glückseier;huevos terrestres;huevos terrestres;œufs terrestres;œufs terrestres;uova terrestri;aarde-eieren;地面蛋;地面蛋;じめんのたまご;땅 달걀;земляные яйца
EasterEgg_12510;stone egg;stone egg;Fels-Glücksei;huevo rupestre;huevo rupestre;œuf minéral;œuf minéral;uovo roccioso;steenei;岩石蛋;岩石蛋;いわのたまご;바위 달걀;каменное яйцо
EasterEgg_12510_pl;stone eggs;stone eggs;Fels-Glückseier;huevos rupestres;huevos rupestres;œufs minéraux;œufs minéraux;uova rocciose;steeneieren;岩石蛋;岩石蛋;いわのたまご;바위 달걀;каменные яйца
EasterEgg_12511;leaf egg;leaf egg;Laub-Glücksei;huevo boscoso;huevo boscoso;œuf feuillu;œuf feuillu;uovo frondoso;bladei;叶子蛋;葉子蛋;はっぱのたまご;나뭇잎 달걀;лиственное яйцо
EasterEgg_12511_pl;leaf eggs;leaf eggs;Laub-Glückseier;huevos boscosos;huevos boscosos;œufs feuillus;œufs feuillus;uova frondose;bladeieren;叶子蛋;葉子蛋;はっぱのたまご;나뭇잎 달걀;лиственные яйца
EasterEgg_12512;wood egg;wood egg;Holz-Glücksei;huevo leñoso;huevo leñoso;œuf boisé;œuf boisé;uovo boscoso;houtei;森林蛋;森林蛋;ウッディなたまご;나무 달걀;лесное яйцо
EasterEgg_12512_pl;wood eggs;wood eggs;Holz-Glückseier;huevos leñosos;huevos leñosos;œufs boisés;œufs boisés;uova boscose;houteieren;森林蛋;森林蛋;ウッディなたまご;나무 달걀;лесные яйца
EasterEgg_12513;sky egg;sky egg;Luft-Glücksei;huevo celeste;huevo celeste;œuf aérien;œuf aérien;uovo celeste;luchtei;飞天蛋;飛天蛋;そらとぶたまご;하늘을 나는 달걀;небесное яйцо
EasterEgg_12513_pl;sky eggs;sky eggs;Luft-Glückseier;huevos celestes;huevos celestes;œufs aériens;œufs aériens;uova celesti;luchteieren;飞天蛋;飛天蛋;そらとぶたまご;하늘을 나는 달걀;небесные яйца
EasterEgg_12514;water egg;water egg;Wasser-Glücksei;huevo acuático;huevo acuático;œuf aquatique;œuf aquatique;uovo acquatico;waterei;鱼儿蛋;魚兒蛋;サカナのたまご;물고기 달걀;водяное яйцо
