label;English;English (Europe);German;Spanish;Spanish (US);French;French (US);Italian;Dutch;Chinese;Chinese (Traditional);Japanese;Korean;Russian
Music_02405;K.K. Chorale;K.K. Chorale;K.K. Choral;Tota-góspel;Tota-góspel;Chorale de Kéké;Chorale de Kéké;K.K. Corale;K⁠.⁠K⁠.-⁠⁠koraal;K.K.赞美诗歌;K.K.讚美詩歌;けけさんびか;K.K.찬송가;Хорал К. К.
Music_02406;K.K. March;K.K. March;K.K. Marsch;Tota-marcha;Tota-marcha;Marche de Kéké;Marche de Kéké;K.K. Marcia;K⁠.⁠K⁠.-⁠mars;K.K.进行曲;K.K.進行曲;けけマーチ;K.K.행진곡;Марш К. К.
Music_02407;K.K. Waltz;K.K. Waltz;K.K. Walzer;Tota-vals;Tota-vals;Valse de Kéké;Valse de Kéké;K.K. Valzer;K⁠.⁠K⁠.-⁠wals;K.K.圆舞曲;K.K.圓舞曲;けけワルツ;K.K.왈츠;Вальс К. К.
Music_02408;K.K. Swing;K.K. Swing;K.K. Swing;Tota-swing;Tota-swing;Swing de Kéké;Swing de Kéké;K.K. Swing;K.K.-⁠swing;K.K.摇摆乐;K.K.搖擺樂;けけスウィング;K.K.스윙;Свинг К. К.
Music_02409;K.K. Jazz;K.K. Jazz;K.K. Jazz;Tota-jazz;Tota-jazz;Jazz de Kéké;Jazz de Kéké;K.K. Jazz;K⁠.⁠K⁠.-⁠jazz;K.K.爵士乐;K.K.爵士樂;けけジャズ;K.K.재즈;Джаз К. К.
Music_02410;K.K. Fusion;K.K. Fusion;K.K. Fusion;Tota-fusión;Tota-fusión;Fusion Kéké;Fusion Kéké;K.K. Fusion;K⁠.⁠K⁠.-⁠fusion;K.K.融合爵士乐;K.K.融合爵士樂;けけフュージョン;K.K.퓨전;Фьюжен К. К.
Music_02411;K.K. Étude;K.K. Étude;K.K. Etüde;Tota-solo;Tota-solo;Étude de Kéké;Étude de Kéké;K.K. Studio;K⁠.⁠K⁠.-⁠etude;K.K.练习曲;K.K.練習曲;けけのエチュード;K.K.에튀드;Этюд К. К.
Music_02412;K.K. Lullaby;K.K. Lullaby;K.K. Schlaflied;Tota-nana;Tota-arrullo;Berceuse de Kéké;Berceuse de Kéké;K.K. Ninnananna;K⁠.⁠K⁠.-⁠slaapliedje;K.K.摇篮曲;K.K.搖籃曲;けけララバイ;K.K.자장가;Колыбельная К. К.
Music_02413;K.K. Aria;K.K. Aria;K.K. Arie;Tota-aria;Tota-aria;Aria de Kéké;Aria de Kéké;K.K. Aria;K⁠.⁠K⁠.-⁠aria;K.K.咏叹调;K.K.詠嘆調;けけマリア;K.K.마리아;Ария К. К.
Music_02414;K.K. Samba;K.K. Samba;K.K. Samba;Tota-samba;Tota-samba;Samba de Kéké;Samba de Kéké;K.K. Samba;K⁠.⁠K⁠.-⁠samba;K.K.桑巴;K.K.森巴;けけサンバ;K.K.삼바;Самба К. К.
