label;English;English (Europe);German;Spanish;Spanish (US);French;French (US);Italian;Dutch;Chinese;Chinese (Traditional);Japanese;Korean;Russian
1055;pacifier;pacifier;Schnuller;chupete;chupete;tétine;suce;ciuccio;speen;奶嘴;奶嘴;おしゃぶり;노리개젖꼭지;соска-пустышка
1137;Labelle sunglasses;Labelle sunglasses;Samthea-Sonnenbrille;gafa de sol Trini;par de lentes de sol Trini;monture solaire Maria;monture solaire Maria;montatura da sole Bice;Labelle-zonnebril;凯丝的墨镜;凱絲墨鏡;ケイトのサングラス;케이트의 선글라스;очки «Лэйблеск»
1148;Nook Inc. eye mask;Nook Inc. eye mask;Nook-Inc.-Augenmaske;antifaz dormir de Nook Inc.;antifaz dormir de Nook Inc.;masque repos Nook Inc.;masque repos Nook Inc.;copriocchi Nook Inc.;Nook Inc.-slaapmasker;Nook Inc.眼罩;Nook Inc.眼罩;たぬきかいはつアイマスク;Nook Inc. 안대;маска для сна Nook Inc.
1182;DAL eye mask;DAL eye mask;DAL-Augenmaske;antifaz para dormir de DAL;antifaz para dormir de DAL;masque repos DAL;masque repos DAL;copriocchi DAL;DAL-slaapmasker;DAL眼罩;DAL眼罩;ＤＡＬアイマスク;DAL 안대;маска для сна DAL
1183;DAL sunglasses;DAL sunglasses;DAL-Sonnenbrille;gafa de sol de DAL;par de lentes de sol DAL;monture solaire DAL;monture solaire DAL;montatura da sole DAL;DAL-zonnebril;DAL墨镜;DAL墨鏡;ＤＡＬサングラス;DAL 선글라스;солнечные очки DAL
1225;pirate eye patch;pirate eye patch;Piratenaugenklappe;parche pirata;parche pirata;cache-œil de pirate;cache-œil de pirate;benda piratesca;piratenooglapje;海盗眼罩;海盜眼罩;かいぞくのアイパッチ;해적 안대;пиратская повязка
1226;pirate beard;pirate beard;Piratenbart;barba de pirata;barba de pirata;barbe de pirate;barbe de pirate;barba da pirata;piratenbaard;海盗胡子;海盜鬍子;かいぞくのひげ;해적 수염;пиратская борода
1271;animal nose;animal nose;Tiernase;nariz de animal;nariz de animal;nez d'animal;nez d'animal;muso animale;dierensnuit;动物假鼻子;動物鼻子道具;アニマルなつけばな;동물 코;звериная мордочка
1300;Nook Inc. snorkel;Nook Inc. snorkel;Nook-Inc.-Taucherbrille;gafa de buceo Nook Inc.;visor de buceo Nook Inc.;masque avec tuba Nook Inc.;masque avec tuba Nook Inc.;maschera mare Nook Inc.;Nook Inc.-duikbril;Nook Inc.潜水镜附呼吸管;Nook Inc.潛水鏡附呼吸管;たぬきかいはつシュノーケル;Nook Inc. 스노클;подводная маска Nook Inc.
184;beak;beak;Schnabel;pico;pico;bec;bec;becco;snavel;鸭嘴道具;鴨嘴道具;くちばし;부리;клюв
185;handlebar mustache;handlebar mustache;Zwirbelbart;bigote inglés;bigote inglés;moustache en guidon;moustache en guidon;baffo a manubrio;klassieke snor;八字翘胡;八字翹鬍;カイゼルひげ;콧수염;большие усы
257;rimmed glasses;rimmed glasses;Laborbrille;gafa redonda;par de lentes redondos;monture intello;monture intello;montatura rotonda;ronde bril;圆框眼镜;圓框眼鏡;まるめがね;동글 안경;очки в роговой оправе
258;square glasses;square glasses;Rechteckbrille;gafa rectangular;par de lentes rectangulares;monture rectangulaire;monture rectangulaire;montatura squadrata;rechthoekige bril;方框眼镜;方框眼鏡;スクエアめがね;사각 안경;прямоугольные очки
259;heart shades;heart shades;Herzchenbrille;gafa corazón;par de lentes corazón;monture cœur;monture cœur;montatura a cuori;hartenzonnebril;爱心墨镜;愛心墨鏡;ハートのサングラス;하트 선글라스;очки-сердечки
260;browline glasses;browline glasses;Browline-Brille;gafa montura superior;par de lentes armazón alto;monture browline;monture papillon;montatura a mezzo cerchio;browline-bril;眉框眼镜;眉框眼鏡;サーモントめがね;하금테 안경;броулайнеры
261;octagonal glasses;octagonal glasses;Achteckbrille;gafa octogonal;par de lentes octogonales;monture octogonale;monture octogonale;montatura ottagonale;achthoekige bril;八角形眼镜;八角形眼鏡;オクタゴンめがね;팔각 안경;восьмиугольные очки
262;star shades;star shades;Sternenbrille;gafa estrella;par de lentes estrella;monture étoiles;monture étoiles;montatura a stelle;sterrenzonnebril;星形墨镜;星形墨鏡;ほしのサングラス;별 선글라스;очки-звездочки
263;round shades;round shades;Rundsonnenbrille;gafa de sol redonda;par de lentes sol redondos;monture solaire ronde;monture solaire ronde;montatura con lenti scure;ronde zonnebril;波士顿框眼镜;波士頓框眼鏡;ボストンめがね;둥근 선글라스;очки «Кошачий глаз»
264;triangle shades;triangle shades;Dreiecksbrille;gafa de sol roquera;par de lentes sol roqueros;monture triangle;monture triangle;montatura triangolare;driehoekige zonnebril;三角形墨镜;三角形墨鏡;さんかくサングラス;삼각 선글라스;треугольные очки
