label;English;English (Europe);German;Spanish;Spanish (US);French;French (US);Italian;Dutch;Chinese;Chinese (Traditional);Japanese;Korean;Russian
014;chino pants;chino pants;Chino;pantalón chino;pantalón de gabardina;pantalon en toile;pantalon en toile;pantalone chino;chino;卡其裤;卡其褲;チノパン;치노 팬츠;брюки из хлопка
015;two-tone pants;two-tone pants;Zweifarbhose;pantalón bicolor;pantalón bicolor;pantalon bicolore;pantalon bicolore;pantalone bicolore;tweekleurige broek;口袋撞色裤;撞色褲;ツートンなズボン;투톤 바지;двухцветные брюки
016;gingham picnic skirt;gingham picnic skirt;Karorock;falda vichy;falda vichy;jupe vichy;jupe vichy;gonna a quadri;picknickrokje;嘉顿格纹裙子;嘉頓格紋裙;ギンガムチェックのスカート;깅엄 체크 치마;клетчатая юбка
017;denim pants;denim pants;Jeans;pantalón tejano;pantalón de jean;jean;jean;paio di jeans ranch;jeans;牛仔裤;牛仔褲;デニムパンツ;데님 바지;джинсы
1091;soccer shorts;soccer shorts;Fußballhose;pantalón corto fútbol;pantalón corto fútbol;short de foot;short de soccer;paio di pantaloni da calcio;voetbalbroekje;足球裤;足球褲;サッカーのズボン;축구 바지;футбольные шорты
1092;explorer shorts;explorer shorts;Safarihose;pantalón corto exploración;pantalón corto exploración;bermuda aventure;bermuda aventure;pantalone da esploratore;ontdekkingsreizigersbroekje;探险服裤子;探險服褲子;たんけんふくのズボン;탐험복 바지;шорты исследователя
1093;animal-stripes skirt;animal-stripes skirt;Tiermusterrock;falda estampado animal;falda estampado animal;jupe motif animalier;jupe motif animalier;gonna animalier;tijgerrokje;动物花纹半裙;動物花紋裙;アニマルがらスカート;동물 무늬 스커트;звериная юбка
1095;football pants;football pants;Footballhose;pantalón rugby;pantalón rugby;pantalon de foot américain;pantalon de football;paio di pantaloni da football;Americanfootballbroekje;美式足球裤;美式足球褲;アメフトズボン;미식축구 바지;футбольные бриджи
1129;Labelle shorts;Labelle shorts;Samthea-Shorts;pantalón corto Trini;pantalón corto Trini;short Maria;short Maria;paio di calzoncini Bice;Labelle-short;凯丝的中裤;凱絲五分褲;ケイトのハーフパンツ;케이트의 반바지;шорты «Лэйблеск»
1130;Labelle skirt;Labelle skirt;Samthea-Rock;falda larga Trini;falda larga Trini;jupe Maria;jupe Maria;gonna Bice;Labelle-rok;凯丝的半裙;凱絲裙;ケイトのスカート;케이트의 치마;юбка «Лэйблеск»
1187;polka-dot miniskirt;polka-dot miniskirt;Pünktchen-Minirock;falda lunarcitos;falda lunarcitos;mini-jupe à pois;mini-jupe à pois;minigonna a pois;minirokje met stippen;波点迷你裙;點點迷你裙;ドットミニスカート;도트 미니스커트;мини-юбка в горох
119;sweatpants;sweatpants;Sofahose;pantalón cómodo;pantalón cómodo;pantalon de jogging;pantalon de jogging;pantalone comodo;joggingbroek;运动针织裤;棉褲;スウェットパンツ;스웨트 팬츠;трикотажные штаны
1190;green grass skirt;green grass skirt;Grasröckchen;falda de hojas;falda de hojas;jupe savane verte;jupe de feuilles verte;gonna foglie di banano;groengrasrokje;绿色的草裙;綠色草裙;みどりのこしみの;초록색 도롱이 하의;юбка из зеленых листьев
120;tweed skirt;tweed skirt;Tweed-Rock;falda de tweed;falda de tweed;jupe en tweed;jupe en tweed;gonna di tweed;tweedrokje;粗花呢裙;斜紋軟呢裙;ツイードスカート;트위드 치마;твидовая юбка
1227;pirate pants;pirate pants;Piratenhose;pantalón de pirata;pantalón de pirata;pantalon de pirate;pantalon de pirate;pantalone da pirata;piratenbroek;海盗裤;海盜褲;かいぞくのズボン;해적 바지;пиратские штаны
125;pleather pants;pleather pants;Kunstlederhose;pantalón de polipiel;pantalón cuero sintético;pantalon en similicuir;pantalon en similicuir;pantalone in ecopelle;kunstleren broek;皮裤;皮褲;レザーパンツ;가죽 바지;брюки из кожзама
126;slacks;slacks;Stoffhose;pantalón de vestir;pantalón de vestir;pantalon de bureau;pantalon de bureau;pantalone classico;pantalon;西装裤;西裝褲;スラックス;슬랙스;строгие брюки
127;athletic pants;athletic pants;Trainingshose;pantalón sport;pantalón sport;pantalon de survêt;pantalon de sport;pantalone della tuta;trainingsbroek;运动健身裤;運動褲;ジャージズボン;트레이닝복 바지;штаны для разминки
128;striped pants;striped pants;Ringelhose;pantalón rayas;pantalón a rayas;pantalon rayé;pantalon rayé;pantalone a righe;gestreepte broek;粗横纹裤;粗橫紋褲;ボーダーパンツ;줄무늬 바지;штаны в полоску
129;worn-out jeans;worn-out jeans;Fetzenjeanshose;pantalón agujereado;pantalón agujereado;pantalon jean usé;pantalon jean usé;paio di jeans strappati;versleten jeans;破洞牛仔裤;破洞牛仔褲;あなあきデニム;찢어진 데님 바지;поношенные джинсы
140;track pants;track pants;Aufwärmhose;pantalón de chándal urbano;pantalón atletismo;pantalon survêt de sport;pantalon de survêtement;pantalone da ginnastica;atletiekbroek;体育运动裤;體育運動褲;スポーツジャージのズボン;스포츠 트레이닝복 바지;штаны для бега
142;kilt;kilt;Kilt;kilt;kilt;kilt;kilt;kilt;kilt;苏格兰裙;蘇格蘭裙;キルト;킬트;килт
144;sailor skirt;sailor skirt;Marinerock;falda marinera;falda marinera;jupe matelot;jupe matelot;gonna marinara;matrozenrokje;水手服裙;水手服裙;セーラーふくのスカート;세일러복 치마;юбка-плиссе
145;camo pants;camo pants;Tarnhose;pantalón camuflaje;pantalón camuflaje;pantalon camouflage;pantalon camouflage;pantalone mimetico;camouflagebroek;迷彩裤;迷彩褲;めいさいパンツ;밀리터리 바지;камуфляжные брюки
148;cargo pants;cargo pants;Cargohose;pantalón cargo;pantalón cargo;pantalon cargo;pantalon cargo;pantalone con tasche;cargobroek;工作裤;工作褲;カーゴパンツ;카고 바지;брюки-карго
149;cuffed pants;cuffed pants;Umkrempelhose;pantalón bajo vuelto;pantalón dobladillo;pantalon à revers;pantalon à revers;pantalone con risvolti;omgeslagen broek;反折裤;反摺褲;すそみせズボン;롤업 바지;брюки с манжетами
152;lace skirt;lace skirt;Spitzenrock;falda encaje;falda encaje;jupe en dentelle;jupe en dentelle;gonna merlettata;kanten rokje;蕾丝短裙;蕾絲裙;レーススカート;레이스 치마;кружевная юбка
158;Santa pants;Santa pants;Weihnachtsmannhose;pantalón Papá Noel;pantalón Papá Noel;pantalon père Noël;pantalon père Noël;pantalone da Babbo Natale;kerstmanbroek;圣诞裤;聖誕褲;サンタのズボン;산타 바지;штаны Санты
160;dress pants;dress pants;Uniformhose;pantalón uniforme escolar;pantalón uniforme escolar;pantalon d'uniforme;pantalon d'uniforme;pantalone scolastico;nette broek;制服裤;制服褲;せいふくのズボン;교복 바지;формальные брюки
161;flashy slacks;flashy slacks;Imponierhose;pantalón de vestir llamativo;pantalón de vestir llamativo;pantalon tape-à-l'œil;pantalon tape-à-l'œil;pantalone vistoso;glanzende broek;华丽西装裤;亮面西裝褲;ハデなスラックス;화려한 슬랙스;броские брюки
175;western pants;western pants;Western-Hose;pantalón de vaquero;pantalón de vaquero;pantalon western;pantalon western;pantalone da cowboy;westernbroek;西部牛仔裤;西部牛仔褲;カウボーイパンツ;카우보이 바지;ковбойские брюки
240;tweed pants;tweed pants;Tweedhose;pantalón de tweed;pantalón de tweed;pantalon en tweed;pantalon en tweed;pantalone di tweed;tweedbroek;粗花呢裤;斜紋軟呢褲;ツイードパンツ;트위드 바지;твидовые брюки
245;cargo shorts;cargo shorts;Cargo-Shorts;pantalón corto cargo;pantalón corto cargo;short cargo;short cargo;pantaloncino con tasche;cargoshort;工装中裤;工作短褲;ハーフカーゴパンツ;카고 반바지;шорты-карго
248;jogging shorts;jogging shorts;Lauf-Shorts;minipantalón jogging;minipantalón de correr;short de footing;short de jogging;pantaloncino da jogging;joggingshort;跑步短裤;跑步短褲;ランニングパンツ;러닝 팬츠;шорты для пробежек
255;long pleated skirt;long pleated skirt;Faltenrock;falda plisada larga;falda plisada larga;jupe longue plissée;jupe longue plissée;gonna lunga plissettata;lange plooirok;长百褶裙;百褶長裙;ロングプリーツスカート;롱 플리츠 스커트;юбка-плиссе макси
256;tennis skirt;tennis skirt;Tennisrock;falda tenis;falda tenis;jupe de tennis;jupe de tennis;gonnellino da tennis;tennisrokje;网球裙;網球裙;テニススカート;테니스 스커트;теннисная юбка
265;denim skirt;denim skirt;Jeansrock;falda vaquera;falda de jean;jupe en jean;jupe en jean;gonna di jeans;jeansrokje;牛仔裙;牛仔裙;デニムスカート;데님 스커트;джинсовая юбка
269;worn-out cutoffs;worn-out cutoffs;Fetzenjeansshorts;minipantalón agujereado;minipantalón agujereado;mini-short en jean troué;mini-short en jean troué;paio di jeans corti strappati;versleten denim short;破洞牛仔短裤;破洞牛仔短褲;あなあきショートデニム;찢어진 데님 숏팬츠;поношенные шорты
270;long polka skirt;long polka skirt;Maxi-Pünktchenrock;falda lunares;falda a lunares;jupe longue à pois;jupe longue à pois;gonna lunga a pois;lange rok met stippen;圆点长裙;圓點長裙;みずたまロングスカート;물방울 롱스커트;макси-юбка в горошек
272;hickory-stripe pants;hickory-stripe pants;Hickory-Streifen-Hose;pantalón raya fina;pantalón raya fina;pantalon de travail;pantalon de travail;pantalone a righine;gestreepte jeans;条纹工作裤;條紋油漆工褲;ヒッコリーのペインターパンツ;히코리 페인터 팬츠;брюки в полоску
273;chain pants;chain pants;Kettenhose;pantalón cadena y hebilla;pantalón cadena y hebilla;pantalon à chaîne;pantalon à chaîne;pantalone con catena;broek met ketting;链条裤;鏈條褲;チェーンつきパンツ;체인 바지;брюки с цепочкой
