label;English;English (Europe);German;Spanish;Spanish (US);French;French (US);Italian;Dutch;Chinese;Chinese (Traditional);Japanese;Korean;Russian
1013;Festivale accessory;Festivale accessory;Karnevalsschmuck;tocado de Carnaval;tocado de Carnaval;coiffe de carnaval;coiffe de carnaval;copricapo Carnevale;carnavalshoofdtooi;狂欢节发饰;狂歡節髮飾;カーニバルなかみかざり;카니발 머리 장식;карнавальный аксессуар
1014;crown;crown;Königinnenkrone;corona real;corona real;couronne;couronne;corona;kroon;后冠;后冠;クイーンのかんむり;여왕 왕관;корона
1041;zen hair clip;zen hair clip;Blumenhaarnadel;horquilla oriental;horquilla oriental;barrette zen;barrette zen;fermacapelli floreale;zenhaarspeld;花朵头饰;稻草圈裝飾;わかざり;꽃 머리장식;заколка-дзен
1042;flashy hairpin;flashy hairpin;Blumenspange;horquilla flor;horquilla flor;épingle luxueuse;épingle luxueuse;fermaglio floreale;opvallende haarspeld;华丽头饰;鮮艷髮飾;はでなかみかざり;화려한 머리핀;броская заколка
1043;pilot's hat;pilot's hat;Pilotenmütze;gorra de piloto;gorra de piloto;chapeau de capitaine;chapeau de capitaine;cappello da pilota;pilotenpet;机长帽;機長帽子;きちょうのぼうし;기장 모자;фуражка пилота
1044;student cap;student cap;Schülermütze;gorra escolar;gorra escolar;chapeau d'élève;chapeau d'élève;cappello da studente;postbodepet;学生帽;學生帽;がくせいぼう;학생모;кепка студента
1045;hibiscus hairpin;hibiscus hairpin;Hibiskus-Haarspange;horquilla hibisco;horquilla hibisco;épingle hibiscus;épingle hibiscus;molletta ibisco;hibiscushaarspeld;扶桑花头饰;扶桑花髮飾;ハイビスカスのかみかざり;히비스커스 머리핀;заколка-гибискус
1061;baseball cap;baseball cap;Baseballkappe;gorra de béisbol;gorra de béisbol;casquette de base-ball;casquette de baseball;cappellino da baseball;honkbalpet;棒球帽;棒球帽;ベースボールキャップ;야구 모자;бейсболка
1065;tweed cap;tweed cap;Tweedmütze;gorra de tweed;gorra de tweed;casquette en tweed;casquette en tweed;berretto di tweed;tweedpet;粗花呢帽;斜紋軟呢帽;ツイードキャップ;트위드 모자;твидовая кепка
1105;floral hairpin;floral hairpin;Blumenhaarspange;clip flor;clip flor;épingle fleurie;épingle fleurie;molletta floreale;bloemenhaarspeld;花朵发夹;花朵髮夾;おはなのヘアピン;꽃 머리핀;шпилька с цветком
1106;heart hairpin;heart hairpin;Herzhaarnadel;clip corazón;clip corazón;épingle cœur;épingle cœur;molletta cuore;hartenhaarspeld;爱心发夹;愛心髮飾;ハートのかみかざり;하트 머리핀;шпилька с сердечком
1107;star hairpin;star hairpin;Sternhaarnadel;clip estrella;clip estrella;épingle étoile;épingle étoile;molletta stella;sterrenhaarspeld;星星发夹;星星髮飾;ほしのかみかざり;별 머리핀;шпилька со звездой
1108;bulb bopper;bulb bopper;Leuchtkugelreif;diadema luciérnagas;diadema luciérnagas;serre-tête lumières;serre-tête lumières;paio antenne fluo;gloeilampendiadeem;发光球头饰;發光球頭飾;ひかるボールアクセサリー;빛나는 볼 액세서리;ободок с лампочками
1109;flower bopper;flower bopper;Leuchtblumenreif;diadema florecillas;diadema florecitas;serre-tête fleurs;serre-tête fleurs;paio antenne fiori;bloemendiadeem;发光花朵头饰;發光花朵頭飾;ひかるはなのアクセサリー;빛나는 꽃 액세서리;ободок с цветками
1110;heart bopper;heart bopper;Leuchtherzchenreif;diadema corazones;diadema corazones;serre-tête cœurs;serre-tête cœurs;paio antenne cuori;hartendiadeem;发光爱心头饰;發光愛心頭飾;ひかるハートアクセサリー;빛나는 하트 액세서리;ободок с сердечками
1111;barrette;barrette;Haarspange;pasador;pasador;barrette;barrette;barretta per capelli;haarspeldje;发夹;髮夾;バレッタ;바레트;цветочная заколка
1112;giant ribbon;giant ribbon;Riesenschleifchen;maxilazo;maxilazo;ruban géant;ruban géant;fiocco gigante;grote strik;大蝴蝶结;大蝴蝶結;おおきなリボン;커다란 리본;огромный бант
1114;skateboarding helmet;skateboarding helmet;Skateboard-Helm;casco para patinete;casco de skateboard;casque de skateboard;casque de skateboard;casco da skateboard;skatehelm;滑板头盔;滑板安全帽;スケボーヘルメット;스케이트 보드 헬멧;шлем для скейтбординга
1115;Aran-knit cap;Aran-knit cap;Aranmustermütze;gorro de punto trenzado;gorro tejido trenzado;bonnet tricoté Aran;bonnet tricoté Aran;berretto Aran;Aran-muts;手编阿伦花样针织帽;手編阿倫花樣針織帽;アランニットぼう;아란 니트 모자;шапка аранской вязки
1117;lettered cap;lettered cap;Schriftzug-Mütze;gorra serigrafiada;gorra serigrafiada;casquette à message;casquette à message;cappello con scritta;pet met tekst;文字帽;文字帽;もじキャップ;글자 모자;кепка с текстом
1119;ribboned garden hat;ribboned garden hat;Schleifchen-Strohhut;sombrero de paja con lazo;sombrero de paja con lazo;chapeau de jardin à ruban;chapeau de jardin à ruban;paglietta con nastrino;tuinhoed met strik;带蝴蝶结草帽;蝴蝶結草帽;リボンつきむぎわらぼうし;리본 밀짚모자;летняя шляпа с лентой
1121;patchwork tulip hat;patchwork tulip hat;Patchwork-Sommerhut;gorro de patchwork;gorro de retazos;chapeau tulipe patchwork;chapeau tulipe patchwork;cappello tulipano patchwork;patchworkhoed;拼布郁金香帽;拼布鬱金香帽;パッチワークのチューリップぼう;패치워크 튤립 모자;панама из пэтчворка
1122;apple hat;apple hat;Apfelhut;gorro manzana;gorro manzana;chapeau pomme;chapeau pomme;berretto mela;appelmuts;苹果帽子;蘋果帽子;リンゴのぼうし;사과 모자;шапка-яблоко
1123;pear hat;pear hat;Birnenhut;gorro pera;gorro pera;chapeau poire;chapeau poire;berretto pera;perenmuts;梨子帽子;梨子帽子;ナシのぼうし;배 모자;шапка-груша
1124;cherry hat;cherry hat;Kirschhut;gorro cerezas;gorro cerezas;chapeau cerise;chapeau cerise;berretto ciliegia;kersenmuts;樱桃帽子;櫻桃帽子;さくらんぼのぼうし;체리 모자;шапка-вишня
1125;peach hat;peach hat;Pfirsichhut;gorro melocotón;gorro durazno;chapeau pêche;chapeau pêche;berretto pesca;perzikmuts;桃子帽子;桃子帽子;モモのぼうし;복숭아 모자;шапка-персик
