label;English;English (Europe);German;Spanish;Spanish (US);French;French (US);Italian;Dutch;Chinese;Chinese (Traditional);Japanese;Korean;Russian
1008;tiara hair;tiara hair;Diadem-Perücke;diadema de princesa;diadema de princesa;diadème;diadème;diadema;tiarapruik;公主假发;公主假髮;おひめさま;공주님 머리;парик с диадемой
1009;headband;headband;Haarband;cinta para el pelo;cinta para el cabello;bandeau;bandeau;fascia;haarbandpruik;发带;髮帶;ヘアターバン;헤어밴드;парик с ленточкой
1010;coin headpiece;coin headpiece;Münzen-Stirnband;gorra de monedas;gorra de monedas;parure de sultane;parure de sultane;copricapo con monete;muntenpruik;金币头饰;金幣頭飾;コインヘッドピース;코인 헤드피스;парик с монетками
1011;pigtail;pigtail;Khan-Perücke;coleta mongola;cola de caballo;natte;natte;codino cinese;paardenstaart;小辫子;小辮子;べんぱつ;변발;парик-косичка
1012;visual-punk wig;visual-punk wig;Visual-Kei-Perücke;peluca punk;peluca punk;perruque visual kei;perruque visual kei;parrucca visual kei;Japanse punkpruik;视觉系假发;視覺系假髮;ヴィジュアルけいウィッグ;록 밴드 스타일 가발;панковский парик
1040;snowperson head;snowperson head;Schneemannhut;casco de Copito;casco de Copito;cagoule neige;cagoule neige;testa da pupazzo di neve;sneeuwpopkop;雪人头套;雪人帽子;ゆきだるまのぼうし;눈사람 모자;шапка снеговика
1113;star head;star head;Sternenkapuze;casco estrella;casco estrella;cagoule étoile;cagoule étoile;cappuccio stella;sterrenkop;星星头套;星星頭套;おほしさまのあたま;별님 머리;звездный шлем
1265;magic-academy hood;magic-academy hood;Zauberlehrlingskapuze;capucha escuela de magia;capucha escuela de magia;capuche école de magie;capuche école de magie;cappuccio scuola di magia;tovenaarsleerlingkap;魔法学校兜帽;魔法學校兜帽;まほうスクールのフード;마법 학교 후드;капюшон академии магов
1266;Jack's face;Jack's face;Jakob-Maske;máscara de Soponcio;máscara de Soponcio;masque Jacqu'O;masque Jacqu'O;maschera di Fifonio;masker van Jack;南瓜王头套;南瓜王面孔;パンプキングフェイス;펌킹 페이스;шлем Джека
1343;okame mask;okame mask;Okame-Maske;máscara de Okame;máscara de Okame;masque okame;masque okame;maschera da Okame;okame-masker;阿龟面具;阿龜面具;おかめのおめん;복을 부르는 가면;маска окамэ
674;headkerchief;headkerchief;Wanderkopftuch;pañuelo anudado en la nariz;pañuelo anudado en la nariz;foulard vert;foulard vert;fazzoletto giapponese;hoofddoek;小偷头巾;小偷頭巾;ほっかむり;뒤집어쓴 보자기;платок
675;fairy-tale hood;fairy-tale hood;Märchenkapuze;caperuza de cuento;caperuza de cuento;chaperon féerique;capuche de petit chaperon;cappuccio fiabesco;sprookjeskapje;童话风头巾;童話風頭巾;メルヘンなずきん;메르헨 두건;сказочный капюшон
676;mummy mask;mummy mask;Mumienmaske;careta de momia;careta de momia;masque de momie;masque de momie;maschera da mummia;mummiemasker;木乃伊头套;木乃伊頭套;ミイラのかぶりもの;미라 마스크;маска мумии
677;bunny hood;bunny hood;Hasenkapuze;gorro de conejito;gorro de conejito;cagoule lapin;cagoule lapin;cappello da coniglio;konijnenmuts;兔子头套;兔子頭套;ウサギのかぶりもの;토끼 모자;шапка зайки
678;cat cap;cat cap;Katzenmütze;gorro de gato;gorro de gato;cagoule chat;cagoule chat;cappello da gatto;kattenmuts;猫头套;貓頭套;ネコのかぶりもの;고양이 모자;шапка кошки
679;ski mask;ski mask;Skimaske;pasamontañas;pasamontañas;cagoule;cagoule;passamontagna;bivakmuts;全罩式头套;全罩式頭套;めだしぼう;복면 마스크;лыжная маска
680;skeleton hood;skeleton hood;Skelettkapuze;capucha calavera;capucha calavera;masque de squelette;masque de squelette;copricapo scheletro;schedelmuts;骸骨头套;骸骨頭套;ガイコツのかぶりもの;해골 모자;шапка скелета
682;bear cap;bear cap;Bärenmütze;gorro de oso;gorro de oso;cagoule ours;cagoule ours;cappello da orso;berenmuts;熊头套;熊頭套;クマのかぶりもの;곰 모자;шапка медведя
