label;English;English (Europe);German;Spanish;Spanish (US);French;French (US);Italian;Dutch;Chinese;Chinese (Traditional);Japanese;Korean;Russian
009;sweater dress;sweater dress;Strickkleid;vestido de punto;vestido de lana;robe en laine;robe en laine;vestito di lana;sweaterjurk;针织连身裙;針織連身裙;ニットワンピース;니트 원피스;вязаное платье
010;parka dress;parka dress;Pulloverkleid;vestido sudadera;vestido sudadera;robe à capuche;robe à capuche;vestito di felpa;hoodyjurk;连帽连身裙;連帽連身裙;パーカーワンピ;파카 원피스;платье-парка
011;overall dress;overall dress;Jeanskleid;vestido de campo;vestido de campo;robe salopette;robe salopette;vestito salopette;spijkerjurk;背带裙;背心裙;ジャンパースカート;점퍼스커트;джинсовый сарафан
012;layered tank dress;layered tank dress;Trägerkleid;vestido de tirantes;vestido sobre camiseta;robe d'été avec t-⁠shirt;robe d'été avec t-⁠shirt;vestito con bretelline;jurkje met T-⁠shirt;两件式细肩带连身裙;兩件式細肩帶連身裙;レイヤーキャミワンピ;레이어드 캐미솔 원피스;платье с футболкой
020;cheerleading uniform;cheerleading uniform;Cheerleader-Uniform;uniforme de animadora;uniforme de animadora;robe de pom-pom girl;robe de meneuse de claque;uniforme da cheerleader;cheerleadersoutfit;啦啦队制服;啦啦隊制服;チアのコスチューム;치어리더 옷;форма чирлидера
024;satin dress;satin dress;Satinkleid;vestido de satén;vestido de satén;robe ballon en satin;robe ballon en satin;vestito satinato;satijnen jurk;缎面连身裙;緞面連身裙;サテンのワンピース;새틴 원피스;атласное платье
028;tweed dress;tweed dress;Tweedkleid;vestido de tweed;vestido de tweed;robe en tweed;robe en tweed;vestito di tweed;tweedjurk;粗花呢连身裙;斜紋軟呢連身裙;ツイードワンピース;트위드 원피스;твидовое платье
029;gumdrop dress;gumdrop dress;Frühlingskleid;vestido esferas;vestido esferas;robe bonbons;robe bonbons;vestito gommoso;lentejurk met stippen;春天圆点连身裙;春天圓點連身裙;はるのみずたまワンピース;봄 물방울무늬 원피스;весеннее платье в горох
030;tropical muumuu;tropical muumuu;Ananas-Strandkleid;vestido aloha piñas;vestido aloha piñas;muumuu tropical;muumuu tropical;vestito tropicale;ananas-mu⁠ʻ⁠umu⁠ʻ⁠u;凤梨图案夏威夷连身裙;鳳梨圖案夏威夷連身裙;パインがらムームー;파인애플 원피스;тропическое муу-муу
031;academy uniform;academy uniform;Sonntagskleid;vestido serio;vestido serio;tenue académique;tenue académique;vestito da istitutrice;kostschooluniform;端庄洋装;端莊洋裝;よそいきなふく;나들이 원피스;школьная форма
032;retro dress;retro dress;Vintage-Kleid;vestido retro sin mangas;vestido retro sin mangas;robe droite rétro;robe droite rétro;vestito vintage;retrojurk met ceintuur;复古直筒连身裙;復古直筒連身裙;レトロボックスワンピース;복고풍 박스 원피스;платье-ретро
