label;English;English (Europe);German;Spanish;Spanish (US);French;French (US);Italian;Dutch;Chinese;Chinese (Traditional);Japanese;Korean;Russian
1003;faux-suede sneakers;faux-suede sneakers;Paar Veloursturnschuhe;zapatilla imitación ante;tenis gamuza sintética;paire de tennis en suédine;paire de tennis en suédine;paio sneaker finto camoscio;kunstsuède sneakers;麂皮运动鞋;麂皮運動鞋;スエードスニーカー;스웨이드 스니커;кроссовки «под замшу»
1097;kung-fu shoes;kung-fu shoes;Paar Kung-Fu-Schuhe;zapato kung-fu;zapato kung-fu;p. de chaussons de kung-fu;p. de chaussons de kung-fu;paio di scarpe da kung fu;kungfuschoenen;功夫鞋;功夫鞋;カンフーシューズ;쿵푸 신발;тапочки для кунг-фу
1098;embroidered shoes;embroidered shoes;Paar Stickschuhe;manoletina con bordado;bailarina con bordado;p. de chaussures brodées;p. de souliers brodés;paio di scarpe ricamate;geborduurde schoenen;刺绣鞋;刺繡鞋;ししゅうのくつ;자수 구두;расшитые туфли
1135;Labelle pumps;Labelle pumps;Paar Samthea-Pumps;manoletina Trini;bailarina Trini;paire de ballerines Maria;paire de ballerines Maria;paio scarpe con tacco Bice;Labelle-pumps;凯丝的浅口鞋;凱絲低跟鞋;ケイトのパンプス;케이트의 펌프스;туфли «Лэйблеск»
1136;Labelle sneakers;Labelle sneakers;Paar Samthea-Sneaker;zapatilla Trini;tenis Trini;paire de baskets Maria;paire d'espadrilles Maria;paio di sneaker Bice;Labelle-sneakers;凯丝的休闲鞋;凱絲運動鞋;ケイトのスニーカー;케이트의 스니커;кеды «Лэйблеск»
1145;Nook Inc. slippers;Nook Inc. slippers;Paar Nook-Inc.-Pantoffeln;pantufla de Nook Inc.;pantufla de Nook Inc.;p. de chaussons Nook Inc.;p. de chaussons Nook Inc.;paio di pantofole Nook Inc.;Nook Inc.-sloffen;Nook Inc.拖鞋;Nook Inc.拖鞋;たぬきかいはつスリッパ;Nook Inc. 슬리퍼;тапочки Nook Inc.
1184;DAL slippers;DAL slippers;Paar DAL-Pantoffeln;pantufla de DAL;pantufla de DAL;paire de chaussons DAL;paire de chaussons DAL;paio di pantofole DAL;DAL-sloffen;DAL拖鞋;DAL拖鞋;ＤＡＬスリッパ;DAL 슬리퍼;тапочки DAL
1191;recycled boots;recycled boots;Paar Recyclingstiefel;bota reciclada;bota reciclada;paire de bottes recyclées;paire de bottes recyclées;paio di stivali riciclati;hergebruikte laarzen;回收长靴;舊長靴;リサイクルながぐつ;재활용 장화;сапоги из утиль-сырья
1211;earth-egg shoes;earth-egg shoes;Paar Erd-Ei-Schuhe;zapato de huevo terrestre;zapato de huevo terrestre;p. chaussures œuf terrestre;p. souliers œuf terrestre;paio di scarpe uova terrestri;aarde-ei-schoenen;地面蛋鞋子;地面蛋鞋子;じめんのたまごのくつ;땅 달걀 신발;боты «Земляное яйцо»
1212;stone-egg shoes;stone-egg shoes;Paar Fels-Ei-Schuhe;zapato de huevo rupestre;zapato de huevo rupestre;p. chaussures œuf minéral;p. souliers œuf minéral;paio scarpe uova rocciose;steenei-schoenen;岩石蛋鞋子;岩石蛋鞋子;いわのたまごのくつ;바위 달걀 신발;боты «Каменное яйцо»
1213;leaf-egg shoes;leaf-egg shoes;Paar Laub-Ei-Schuhe;zapato de huevo boscoso;zapato de huevo boscoso;p. chaussures œuf feuillu;p. souliers œuf feuillu;paio scarpe uova frondose;bladei-schoenen;叶子蛋鞋子;葉子蛋鞋子;はっぱのたまごのくつ;나뭇잎 달걀 신발;боты «Лиственное яйцо»
1214;wood-egg shoes;wood-egg shoes;Paar Holz-Ei-Schuhe;zapato de huevo leñoso;zapato de huevo leñoso;p. chaussures œuf boisé;p. souliers œuf boisé;paio scarpe uova boscose;houtei-schoenen;森林蛋鞋子;森林蛋鞋子;ウッディなたまごのくつ;나무 달걀 신발;боты «Лесное яйцо»
1215;sky-egg shoes;sky-egg shoes;Paar Luft-Ei-Schuhe;zapato de huevo celeste;zapato de huevo celeste;p. chaussures œuf aérien;p. souliers œuf aérien;paio di scarpe uova celesti;luchtei-schoenen;飞天蛋鞋子;飛天蛋鞋子;そらとぶたまごのくつ;하늘을 나는 달걀 신발;боты «Небесное яйцо»
1216;water-egg shoes;water-egg shoes;Paar Wasser-Ei-Schuhe;zapato de huevo acuático;zapato de huevo acuático;p. chaussures œuf aquatiq.;p. souliers œuf aquatiq.;p. scarpe uova acquatiche;waterei-schoenen;鱼儿蛋鞋子;魚兒蛋鞋子;サカナのたまごのくつ;물고기 달걀 신발;боты «Водяное яйцо»
1217;wedding pumps;wedding pumps;Paar Hochzeits-Pumps;zapato nupcial con lazo;zapato nupcial con lazo;p. escarpins de mariage;p. escarpins de mariage;paio ballerine nuziali fiocco;trouwballerina's;纯白浅口鞋;純白低跟鞋;じゅんぱくのパンプス;순백 펌프스;свадебные лодочки
1218;wedding shoes;wedding shoes;Paar Hochzeitsschuhe;zapato nupcial con hebilla;zapato nupcial con hebilla;p. chaussures de mariage;p. souliers de mariage;paio scarpe nuziali fibbia;trouwschoenen;纯白鞋;純白鞋;じゅんぱくのシューズ;순백 슈즈;свадебные туфли
1223;mermaid shoes;mermaid shoes;Paar Nixenschuhe;zapato sirena;zapato sirena;paire de chaussures sirène;paire de souliers sirène;paio scarpe sirena;meerminnenballerina's;人鱼鞋;人魚鞋;マーメイドなくつ;머메이드 구두;туфли русалки
1228;pirate boots;pirate boots;Paar Piratenstiefel;bota pirata;bota pirata;paire de bottes de pirate;paire de bottes de pirate;paio di stivali da pirata;piratenlaarzen;海盗靴;海盜靴;かいぞくのブーツ;해적 부츠;пиратские сапоги
1269;flashy animal boots;flashy animal boots;Paar Tierkostüm-Schuhe;bota de animal;bota de animal;p. de bottes animal flashy;p. de bottes animal flashy;paio di stivali da animale;dierenlaarzen;鲜艳动物玩偶服靴子;鮮豔動物玩偶裝靴子;ハデなアニマルきぐるみブーツ;화려한 동물 인형 옷 부츠;броские звериные сапоги
1270;mage's boots;mage's boots;Paar Zauberschuhe;bota de hechicería;bota de hechicería;paire de bottes de mage;paire de bottes de mage;paio di stivali stregoneschi;heksenlaarzen;魔法师靴子;魔法師靴子;まほうつかいのブーツ;마법사 부츠;полусапоги мага
236;kimono sandals;kimono sandals;Paar Kimono-Sandalen;sandalia kimono;sandalia kimono;paire de sandales kimono;paire de sandales kimono;paio di zoccoli da kimono;kimonosandalen;木屐;二齒木屐;げた;일본풍 샌들;японские сандалии
515;shower sandals;shower sandals;Paar Badelatschen;chancla de piscina;chancla de piscina;paire de claquettes de bain;p. de gougounes de douche;paio di ciabatte da doccia;badslippers;浴室拖鞋;浴室拖鞋;シャワーサンダル;줄무늬 슬리퍼;тапочки для душа
517;pleather sneakers;pleather sneakers;Paar Kunstleder-Sneaker;deportiva de polipiel;tenis de cuero sintético;paire de tennis en similicuir;paire d'esp. en similicuir;paio di sneaker in ecopelle;kunstleren sneakers;皮休闲鞋;皮運動鞋;レザーのスニーカー;가죽 스니커;кроссовки из кожзама
520;faux-shearling boots;faux-shearling boots;Paar Kunstfellstiefel;bota sherpa;bota de piel sintética;paire de bottes fourrées;paire de bottes fourrées;paio di stivali finto montone;winterlaarzen;雪地靴;麂皮雪靴;ムートンブーツ;양털 부츠;сапожки под овчину
521;vinyl round-toed pumps;vinyl round-toed pumps;Paar Vinyl-Pumps;tacón vinilo punta redonda;zapato vinilo punta redonda;paire d'escarpins en vinyle;paire d'escarpins en vinyle;paio di ballerine in vernice;vinylen pumps;漆皮浅口鞋;漆皮低跟鞋;エナメルのパンプス;에나멜 펌프스;виниловые лодочки
522;loafers;loafers;Paar Slipper;mocasín;mocasín;paire de chaussures bateau;paire de souliers bateau;paio di mocassini;instappers;乐福鞋;樂福鞋;ローファー;로퍼;лоферы
523;cross-belt sandals;cross-belt sandals;Paar Kreuzriemensandalen;sandalia de banda cruzada;sandalia cruzada;p. sandales brides croisées;p. sandales brides croisées;paio di sandali a due fasce;kruislingse sandalen;交叉带凉鞋;交叉帶涼鞋;クロスベルトサンダル;크로스 벨트 샌들;сандалии с перевязью
526;business shoes;business shoes;Paar Business-Schuhe;zapato ejecutivo;zapato ejecutivo;paire de chaussures pro;paire de souliers pro;paio di scarpe da impiegato;zakenschoenen;商务皮鞋;商務皮鞋;ビジネスシューズ;비즈니스 슈즈;деловые ботинки
528;velour boots;velour boots;Paar Veloursstiefel;botín de velur;botín de velvetón;paire de bottes en velours;paire de bottes en velours;paio di stivali di velour;fluwelen laarzen;天鹅绒靴;絨面靴;ベロアブーツ;벨루어 부츠;велюровые сапоги
529;rain boots;rain boots;Paar Regenstiefel;katiuska;bota de lluvia;paire de bottes de pluie;paire de bottes de pluie;paio di stivali da pioggia;regenlaarzen;雨靴;雨靴;レインブーツ;레인 부츠;резиновые сапоги
530;zori;zori;Paar Sandalen;sandalia de bambú;sandalia de bambú;paire de zori;paire de zori;paio di zori;zori;草履拖鞋;草履拖鞋;ぞうり;가락 신;дзори
705;trekking shoes;trekking shoes;Paar Trekkingschuhe;zapato de senderismo;zapato de senderismo;p. de chaussures de rando;p. de souliers de rando;paio di scarpe da trekking;wandelschoenen;登山鞋;登山鞋;トレッキングシューズ;트래킹 슈즈;походные ботинки
760;paw slippers;paw slippers;Paar Pfoten;pantufla zarpa;pantufla garra;paire de chaussons animal;paire de chaussons animal;paio di pantofole a zampa;pootpantoffels;兽爪鞋;動物拖鞋;アニマルスリッパ;동물 슬리퍼;слипперы-лапы
761;flip-flops;flip-flops;Paar Badesandalen;chancla;chancla;paire de tongs;paire de sandales;paio di infradito;teenslippers;沙滩拖鞋;沙灘拖鞋;ビーチサンダル;비치 샌들;шлепанцы
762;mary janes;mary janes;Paar Riemchenschuhe;mercedita;zapato hebilla negro;paire de babies;paire d'espadrilles;paio di scarpe con cinturino;kinderschoenen;扣带鞋;扣帶鞋;ストラップシューズ;메리제인 슈즈;туфли с перемычкой
763;armor shoes;armor shoes;Paar Silberrüstungsschuhe;escarpe;escarpe;paire de solerets;paire de solerets;paio scarpe armatura;ridderlaarzen;铁甲靴;鐵甲鞋;アイアンアーマーシューズ;아이언 아머 슈즈;рыцарские сапоги
764;slip-on school shoes;slip-on school shoes;Paar Uwabaki;zapatilla escolar japonesa;zapatilla escolar japonesa;paire de souliers d'école;paire de souliers d'école;paio di pantofole da scuola;Japanse schoolschoenen;室内鞋;室內便鞋;うわばき;학교 실내화;увабаки
765;pleather ankle booties;pleather ankle booties;Paar Kunstlederstiefel;botín de polipiel;bota corta cuero sintético;paire de bottines similicuir;paire de bottines similicuir;paio di stivaletti in ecopelle;kunstleren enkellaarsjes;皮短靴;皮短靴;レザーのショートブーツ;가죽 앵클 부츠;полусапожки из кожзама
766;flower sandals;flower sandals;Paar Blümchensandalen;sandalia con flor;sandalia con flor;paire de sandales fleuries;paire de sandales fleuries;paio di sandali floreali;sandalen met bloemen;花朵凉鞋;花朵拖鞋;フラワーなサンダル;플라워 샌들;сандалии с цветком
