label;English;English (Europe);German;Spanish;Spanish (US);French;French (US);Italian;Dutch;Chinese;Chinese (Traditional);Japanese;Korean;Russian
047;stockings;stockings;Paar Strümpfe;media;media;paire de bas;collant;paio di calze;kousen;丝袜;絲襪;ストッキング;스타킹;чулки
048;fishnet tights;fishnet tights;Modestrumpfhose;media de rejilla;media de rejilla;collant filet;collant filet;paio di calze a rete;netpanty;网袜;網襪;あみタイツ;망사 타이츠;чулки в сеточку
1002;vivid socks;vivid socks;Paar Einfarb-Socken;calcetín de color vívido;calcetín de color vívido;paire de socquettes vives;p. de bas simples;paio di calzini briosi;felgekleurde sokken;鲜艳袜子;鮮豔襪子;ビビッドなソックス;비비드 양말;яркие носки
1049;semi-opaque tights;semi-opaque tights;Transparenz-Strumpfhose;media semiopaca;media semiopaca;collant semi-opaque;collant semi-opaque;paio di calze semiopache;semi-doorzichtige panty;同色系裤袜;同色系褲襪;ニュアンスタイツ;반투명 타이츠;полупрозрачные чулки
1050;everyday tights;everyday tights;Alltagsstrumpfhose;media de diario;media diaria;collant ordinaire;collant ordinaire;paio di calze ordinarie;alledaagse panty;通勤裤袜;通勤褲襪;デイリータイツ;데일리 타이츠;повседневные чулки
1051;vivid tights;vivid tights;Einfarb-Strumpfhose;media de color vívido;media de color vívido;collant vif;collant vif;paio di calze briose;felgekleurde panty;鲜艳裤袜;鮮豔褲襪;ビビッドなタイツ;비비드 타이츠;яркие чулки
1052;neon tights;neon tights;Neon-Strumpfhose;media de colores neón;media de colores neón;collant fluo;collant fluo;paio di calze neon;neonpanty;荧光色裤袜;螢光色褲襪;ネオンタイツ;네온 타이츠;неоновые чулки
1053;vivid leggings;vivid leggings;Einfarb-Leggings;malla de color vívido;malla de color vívido;legging vif;legging vif;paio di legging briosi;felgekleurde legging;鲜艳紧身裤;鮮豔緊身褲;ビビッドなレギンス;비비드 레깅스;яркие леггинсы
1054;neon leggings;neon leggings;Neon-Leggings;malla de colores neón;malla de colores neón;legging fluo;legging fluo;paio di legging neon;neonlegging;荧光色紧身裤;螢光色緊身褲;ネオンレギンス;네온 레깅스;неоновые леггинсы
1059;everyday socks;everyday socks;Paar Alltagssocken;calcetín de diario;calcetín diario;p. chaussettes ordinaires;p. de bas ordinaires;paio di calzini ordinari;alledaagse sokken;通勤袜子;通勤襪子;デイリーソックス;데일리 양말;повседневные носки
1060;semi-opaque socks;semi-opaque socks;Paar Transparenz-Socken;calcetín semiopaco;calcetín semiopaco;p. chauss. semi-opaques;p. chauss. semi-opaques;paio di calzini semiopachi;semi-doorzichtige sokken;同色系袜子;同色系襪子;ニュアンスソックス;반투명 양말;полупрозрачные носки
1133;Labelle tights;Labelle tights;Samthea-Strumpfhose;media Trini;media Trini;collant Maria;collant Maria;paio di calze Bice;Labelle-panty;凯丝的裤袜;凱絲褲襪;ケイトのタイツ;케이트의 타이츠;чулки «Лэйблеск»
1134;Labelle socks;Labelle socks;Paar Samthea-Socken;calcetín Trini;calcetín Trini;paire de chaussettes Maria;paire de bas Maria;paio di calzini Bice;Labelle-sokken;凯丝的袜子;凱絲襪子;ケイトのソックス;케이트의 양말;носки «Лэйблеск»
1144;Nook Inc. socks;Nook Inc. socks;Paar Nook-Inc.-Socken;calcetín de Nook Inc.;calcetín de Nook Inc.;p. de chaussettes Nook Inc.;p. de bas Nook Inc.;paio di calzini Nook Inc.;Nook Inc.-sokken;Nook Inc.袜子;Nook Inc.襪子;たぬきかいはつソックス;Nook Inc. 양말;носки Nook Inc.
1188;dotted knee-high socks;dotted knee-high socks;Paar Punkt-Kniestrümpfe;calcetín topos alto;calcetín a lunares alto;p. chauss. longues à pois;p. chauss. longues à pois;paio di calzettoni a pois;kniekousen met stippen;点点膝上袜;點點膝上襪;ドットのニーハイソックス;도트 니하이 삭스;гольфы в горох
1189;simple knee-high socks;simple knee-high socks;Paar Simpel-Kniestrümpfe;calcetín sencillo alto;calcetín sencillo alto;p. chauss. longues simples;p. chauss. longues simples;paio di calzettoni semplici;eenvoudige kniekousen;简约膝上袜;簡約膝上襪;シンプルなニーハイソックス;심플 니하이 삭스;простые гольфы
1275;horizontal-striped tights;horizontal-striped tights;Paar Ringel-Kniestrümpfe;media rayas horizontales;media rayas horizontales;collant rayures horizontales;collant rayures horizontales;paio di calze a righe oriz.;horizontale-strepen-panty;粗横纹长袜;粗橫紋褲襪;ボーダータイツ;줄무늬 타이츠;чулки в полоску
519;back-bow socks;back-bow socks;Paar Schleifchensocken;calcetín lazo trasero;calcetín lazo trasero;p. de chaussettes à nœud;p. de bas à nœud;paio di calzini con fiocco;sokken met een strikje;蝴蝶结袜子;蝴蝶結襪子;リボンソックス;리본 양말;носки с бантиком сзади
535;no-show socks;no-show socks;Paar Low-Socken;calcetín oculto;calcetín oculto;paire de mini-socquettes;p. de mini-bas;paio di calzini corti;sneakersokken;船型袜;船型襪;スニーカーインソックス;발목 양말;невидимые носки
536;Aran-knit socks;Aran-knit socks;Paar Aranmustersocken;calcetín de punto trenzado;calcetín tejido trenzado;paire de chaussettes Aran;paire de bas Aran;paio di calzini Aran;Aran-sokken;毛线袜;手編阿倫花樣針織襪;アランニットのソックス;아란 니트 양말;носки аранской вязки
537;sequin leggings;sequin leggings;Paillettenleggings;malla con lentejuelas;malla con lentejuelas;legging à sequins;legging à sequins;paio di legging con lustrini;legging met pailletten;亮片紧身裤;亮片緊身褲;スパンコールレギンス;스팽글 레깅스;леггинсы с пайетками
538;stretch leggings;stretch leggings;Stretchleggings;malla elástica;malla elástica;legging stretch;legging stretch;paio di legging elastici;stretchlegging;弹性紧身裤;彈性緊身褲;ストレッチレギンス;스트레치 레깅스;эластичные леггинсы
539;denim leggings;denim leggings;Jeansleggings;malla denim;malla de jean;legging en jean;legging en jean;paio di legging di jeans;jegging;牛仔紧身裤;牛仔緊身褲;デニムレギンス;데님 레깅스;джеггинсы
540;tube socks;tube socks;Paar Sportsocken;calcetín cómodo;calcetín cómodo;paire de chaussettes sport;paire de bas de sport;paio di calzini con righe;sportsokken;条纹袜;條紋襪;ラインソックス;라인 양말;носки без пятки
541;garter socks;garter socks;Paar Strumpfbandstrümpfe;calcetín con liguero;calcetín con liga;paire de fixe-chaussettes;paire de fixe-bas;paio calzini con giarrettiera;sokken met ophouders;吊带袜;吊帶襪;ガーターつきストッキング;가터 스타킹;носки с подтяжками
542;nordic socks;nordic socks;Paar Norwegerstrümpfe;calcetín nórdico;calcetín nórdico;p. de chaussettes nordiques;p. de bas nordiques;paio di calzini yodel;Scandinavische sokken;北欧风袜子;北歐風襪子;ノルディックなソックス;노르딕풍 양말;северные носки
543;tabi;tabi;Paar Tabi-Socken;tabi;tabi;paire de tabi;paire de tabi;paio di tabi;tabi;足袋;足袋;たび;일본풍 버선;носки таби
600;ultra no-show socks;ultra no-show socks;Paar Füßlinge;calcetín invisible;calcetín invisible;p. de chaussettes ballerines;p. de bas ballerines;paio di fantasmini;kousenvoetjes;隐形袜;隱形襪;フットカバー;덧양말;следки
601;mixed-tweed socks;mixed-tweed socks;Paar Mixed-Tweed-Socken;calcetín de tweed;calcetín de tweed;p. de chaussettes tweed;p. de bas en tweed;paio di calzini di lana mista;mêleesokken;混色粗花呢袜;混色斜紋軟呢襪;ミックスツイードソックス;믹스 트위드 양말;мелированные носки
602;leg warmers;leg warmers;Paar Beinwärmer;calentador;calentador;paire de jambières;paire de bas réchauffement;paio di scaldamuscoli;beenwarmers;袜套;保暖襪套;レッグウォーマー;발 토시;гетры
603;compression tights;compression tights;Kompressionsstrumpfhose;malla de compresión;malla de compresión;collant de contention;collant de contention;paio di calze contenitive;compressielegging;压力裤袜;壓力褲襪;コンプレッションタイツ;압박 타이츠;компрессионные чулки
604;bobby socks;bobby socks;Paar Bündchensocken;calcetín sencillo;calcetín sencillo;paire de socquettes simples;paire de socquettes simples;paio di calzini con trina;sokken met omslag;三折袜;三折襪;みつおりソックス;접는 양말;короткие белые носки
605;frilly knee-high socks;frilly knee-high socks;Paar Rüschenkniestrümpfe;calcetín encaje alto;calcetín encaje alto;p. chauss. longues dentelle;p. chauss. longues dentelle;p. calzini vezzosi al ginoc.;kniekousen met ruches;蕾丝花边膝上袜;蕾絲花邊膝上襪;フリルつきニーハイソックス;프릴 니하이 삭스;гольфы с оборками
606;lace socks;lace socks;Paar Spitzensöckchen;calcetín encaje;calcetín encaje;paire chaussettes dentelle;paire de bas en dentelle;paio di calzini merlettati;sokken met kant;蕾丝袜;蕾絲襪;レースのソックス;레이스 양말;носки с кружевами
607;frilly socks;frilly socks;Paar Rüschensöckchen;calcetín con volantes;calcetín con volados;paire socquettes à dentelle;p. de bas à dentelle;paio di calzini vezzosi;sokken met ruches;蕾丝花边袜;蕾絲花邊襪;フリルソックス;프릴 양말;носки с оборками
608;holey tights;holey tights;Löcher-Strumpfhose;media raída;media raída;collant filé;collant filé;paio di calze strappate;panty met gaten;破洞裤袜;破洞褲襪;あなあきタイツ;구멍 난 타이츠;дырявые чулки
609;soccer socks;soccer socks;Paar Fußballstutzen;media fútbol;media de fútbol;paire chaussettes de foot;paire de bas de soccer;paio di calzettoni da calcio;voetbalsokken;足球袜;足球襪;サッカーソックス;축구 양말;футбольные носки
610;holey socks;holey socks;Paar Loch-Socken;calcetín raído;calcetín raído;paire chaussettes trouée;paire de bas troués;paio di calzini strappati;sokken met gaten;破洞袜;破洞襪;あなあきソックス;구멍 난 양말;дырявые носки
611;pom-pom socks;pom-pom socks;Paar Puschel-Socken;calcetín con pompones;calcetín con pompones;paire chaussettes pompons;paire de bas à pompons;paio di calzini con pon-pon;sokken met pompons;毛球袜;毛球襪;ポンポンソックス;폼폼 양말;носки с помпонами
612;color-blocked socks;color-blocked socks;Paar Bunt-Socken;calcetín composición color;calcetín composición color;paire chaussettes carreaux;paire de bas à carreaux;paio di calzini variopinti;sokken met kleurvlakken;多色格子袜;多色方塊襪;マルチブロックソックス;컬러 블록 양말;носки в цветную клетку
613;terry-cloth socks;terry-cloth socks;Paar Frottee-Socken;calcetín de felpa;calcetín de felpa;p. chaussettes tissu éponge;p. de bas en tissu éponge;paio di calzini di spugna;badstoffen sokken;毛绒袜;毛絨襪;もこもこソックス;수면 양말;махровые носки
619;layered socks;layered socks;Paar Abstrakt-Strümpfe;calcetín múltiple;calcetín múltiple;p. chaussettes superposées;p. de bas superposés;paio di calzini a strati;laagjessokken;多层袜;多層襪;かさねばきソックス;레이어드 양말;многослойные носки
620;hand-knit socks;hand-knit socks;Paar Stricksocken;calcetín de punto;calcetín tejido;p. chauss. tricotées main;p. chauss. tricotées main;paio di calzini di maglia;handgebreide sokken;手工编织袜;手工編織襪;てあみのソックス;털실 양말;вязаные носки
621;aerobics leggings;aerobics leggings;Aerobic-Leggings;malla con calentador;malla con calentador;legging d'aérobic;legging d'aérobique;paio di legging da aerobica;aerobicslegging;有氧运动紧身裤;有氧運動緊身褲;エアロビレギンス;에어로빅 레깅스;леггинсы для аэробики
622;puckered socks;puckered socks;Paar Mäusezahnsocken;calcetín plisado;calcetín plisado;p. chaussettes déformées;p. de bas déformés;paio di calzini arricciati;gerimpelde sokken;泡泡袜;泡泡襪;くしゅくしゅソックス;꾸깃꾸깃한 양말;носки пико
623;striped socks;striped socks;Paar Ringelsocken;calcetín a rayas;calcetín a rayas;paire de chaussettes rayées;paire de bas rayés;paio di calzini a strisce;gestreepte sokken;粗横纹袜;粗橫紋襪;ボーダーソックス;가로 줄무늬 양말;полосатые носки
