label;English;English (Europe);German;Spanish;Spanish (US);French;French (US);Italian;Dutch;Chinese;Chinese (Traditional);Japanese;Korean;Russian
006;striped shirt;striped shirt;Ringelpulli;jersey rayas;suéter a rayas;pull léger rayé;gilet léger rayé;maglia a righe;gestreept shirt;粗横纹T恤;粗橫紋T恤;ボーダーＴシャツ;줄무늬 티셔츠;тельняшка-лонгслив
008;mountain parka;mountain parka;Bergsteigerjacke;sudadera de montaña;sudadera de montaña;parka de montagne;parka de montagne;felpa da montagna;outdoorjas;登山连帽上衣;登山連帽上衣;マウンテンパーカー;마운틴 파카;куртка с капюшоном
013;peacoat;peacoat;Dufflecoat;trenca;abrigo grueso;duffel-coat;manteau marine;giacca montgomery;wollen jas;羊毛混纺牛角扣大衣;羊毛混紡牛角釦大衣;ダッフルコート;더플코트;бушлат
018;trench coat;trench coat;Trenchcoat;gabardina;gabardina;pardessus;imper;trench;trenchcoat;风衣;風衣;トレンチコート;트렌치코트;тренчкот
019;kung-fu tee;kung-fu tee;Kung-Fu-Hemd;camiseta kung-fu;camiseta kung-fu;veste kung-fu;manteau kung-fu;maglietta da kung fu;kungfushirt;功夫衫;功夫衣服;カンフーなふく;쿵푸 옷;майка для кун-фу
021;letter jacket;letter jacket;Collegejacke;cazadora;chamarra;veste collège;manteau collège;giacca college;sportjack;棒球外套;棒球外套;スタジャン;점퍼;куртка с буквой
022;three-ball tee;three-ball tee;3er-Shirt;camiseta bola 3;camiseta bola 3;t-⁠shirt nº 3;t-⁠shirt nº 3;maglietta palla 3;3-⁠bal-T-⁠shirt;3号球上衣;3號球衣服;３ばんだまのふく;3번공 옷;футболка «3»
023;two-ball tee;two-ball tee;2er-Shirt;camiseta bola 2;camiseta bola 2;t-⁠shirt nº 2;t-⁠shirt nº 2;maglietta palla 2;2-⁠bal-T-⁠shirt;2号球上衣;2號球衣服;２ばんだまのふく;2번공 옷;футболка «2»
025;layered tank;layered tank;Lagentop;top con volantes;top con volados;débardeur à volants;camisole à volants;canotta a strati;laagjeshemdje;简约波浪边细肩带背心;簡約荷葉邊細肩帶背心;シンプルフリルキャミソール;심플 프릴 캐미솔;многослойный топ
026;silk shirt;silk shirt;Asia-Hemd;blusa de seda;blusa de seda;veste chinoise;manteau de soie;giacca di seta;zijden shirt;中国风上衣;中華風衣服;チャイナふく;중국풍 옷;шелковая рубашка
027;raglan shirt;raglan shirt;Raglan-Shirt;jersey manga raglán;suéter manga raglán;t-⁠shirt raglan m. longues;t-⁠shirt raglan m. longues;maglia raglan;raglanshirt;插肩T恤;插肩T恤;ラグランＴシャツ;래글런 티셔츠;лонгслив реглан
033;basketball tank;basketball tank;Basketballtrikot;top básquet;top básquet;débardeur basketball;camisole de basketball;canotta da basket;basketbalshirt;篮球衣;籃球衣;バスケシャツ;농구복 상의;баскетбольный топ
035;hand-knit tank;hand-knit tank;Stricktop;chaleco de punto;chaleco tejido;débardeur tricoté main;débardeur tricoté main;maglione smanicato;handgebreide tanktop;无袖针织衫;無袖針織衫;ノースリーブのニット;민소매 니트;вязаный топ
037;down jacket;down jacket;Thermojacke;chaqueta acolchada;abrigo acolchado;doudoune;doudoune;piumino;gewatteerde jas;羽绒外套;羽絨外套;ダウンジャケット;다운재킷;пуховая куртка
