label;English;English (Europe);German;Spanish;Spanish (US);French;French (US);Italian;Dutch;Chinese;Chinese (Traditional);Japanese;Korean;Russian
1055_Accessory_02298;Baby purple;Baby purple;Lila;Morado pastel;Morado pastel;Violet pastel;Mauve pastel;Viola pastello;Paars;嫩紫色;粉嫩紫色;ベビーパープル;베이비 퍼플;Нежно-фиолетовый
1055_Accessory_11013;Baby mint;Baby mint;Minzgrün;Turquesa pastel;Turquesa pastel;Turquoise pastel;Turquoise pastel;Menta pastello;Mintgroen;嫩薄荷色;粉嫩薄荷綠;ベビーミント;베이비 민트;Нежно-мятный
1055_Accessory_11014;Baby yellow;Baby yellow;Gelb;Amarillo pastel;Amarillo pastel;Jaune pastel;Jaune pastel;Giallo pastello;Geel;嫩黄色;粉嫩黃色;ベビーイエロー;베이비 옐로;Нежно-желтый
1055_Accessory_11015;Baby green;Baby green;Grün;Verde pastel;Verde pastel;Vert pastel;Vert pastel;Verde pastello;Groen;嫩绿色;粉嫩綠色;ベビーグリーン;베이비 그린;Нежно-зеленый
1055_Accessory_11016;Baby pink;Baby pink;Rosa;Rosa pastel;Rosa pastel;Rose pastel;Rose pastel;Rosa pastello;Roze;嫩粉红色;粉嫩粉紅色;ベビーピンク;베이비 핑크;Нежно-розовый
1055_Accessory_11017;Baby gray;Baby gray;Grau;Gris pastel;Gris pastel;Gris pastel;Gris pastel;Grigio pastello;Grijs;嫩灰色;粉嫩灰色;ベビーグレー;베이비 그레이;Нежно-серый
1055_Accessory_11018;Baby blue;Baby blue;Blau;Azul pastel;Azul pastel;Bleu pastel;Bleu pastel;Blu pastello;Blauw;嫩蓝色;粉嫩藍色;ベビーブルー;베이비 블루;Нежно-синий
1055_Accessory_11019;Baby orange;Baby orange;Orange;Naranja pastel;Naranja pastel;Orange pastel;Orange pastel;Arancione pastello;Oranje;嫩橘色;粉嫩橘色;ベビーオレンジ;베이비 오렌지;Нежно-оранжевый
1137_Accessory_09887;Twilight;Twilight;Dämmerung;Crepúsculo;Crepúsculo;Crépuscule;Crépuscule;Crepuscolo;As;黎明;曙光;トワイライト;트와일라잇;Сумерки
1137_Accessory_11776;Midnight;Midnight;Mitternacht;Medianoche;Medianoche;Ténèbres;Ténèbres;Tenebre;Inkt;午夜;午夜;ミッドナイト;미드나이트;Полночь
1137_Accessory_11777;Passion;Passion;Leidenschaft;Pasión;Pasión;Passion;Passion;Passione;Vuur & Vlam;热情;熱情;パッション;바이올렛;Темперамент
1137_Accessory_11778;Ocean;Ocean;Ozean;Océano;Océano;Océan;Océan;Oceano;7e Hemel;海洋;海洋;オーシャン;오션;Океан
1137_Accessory_11779;Sunset;Sunset;Sonnenuntergang;Puesta de sol;Puesta de sol;Soleil couchant;Soleil couchant;Girasole;Klatergoud;日落;日落;サンセット;선셋;Закат
1137_Accessory_11780;Love;Love;Romantik;Amor;Amor;Romance;Romance;Romanticismo;Roze Bril;爱;愛;ラブ;러브;Любовь
1148_Accessory_09654;Green;Green;Grün;Verde;Verde;Vert;Vert;Verde;Groen;绿色;綠色;グリーン;그린;Зеленый
1182_Accessory_12128;Blue;Blue;Blau;Azul;Azul;Bleu;Bleu;Blu;Blauw;蓝色;藍色;ブルー;블루;Синий
1183_Accessory_12129;Yellow;Yellow;Gelb;Amarillo;Amarillo;Jaune;Jaune;Giallo;Geel;黄色;黃色;イエロー;옐로;Желтый
1225_Accessory_12662;Black;Black;Schwarz;Negro;Negro;Noir;Noir;Nero;Zwart;黑色;黑色;ブラック;블랙;Черный
