label;English;English (Europe);German;Spanish;Spanish (US);French;French (US);Italian;Dutch;Chinese;Chinese (Traditional);Japanese;Korean;Russian
1013_Cap_02612;Blue;Blue;Blau;Azul;Azul;Bleu;Bleu;Blu;Blauw;蓝色;藍色;ブルー;블루;Синий
1013_Cap_09732;Red;Red;Rot;Rojo;Rojo;Rouge;Rouge;Rosso;Rood;红色;紅色;レッド;레드;Красный
1013_Cap_09733;Purple;Purple;Lila;Púrpura;Morado;Violet;Mauve;Viola;Paars;紫色;紫色;パープル;퍼플;Фиолетовый
1013_Cap_09734;Green;Green;Grün;Verde;Verde;Vert;Vert;Verde;Groen;绿色;綠色;グリーン;그린;Зеленый
1014_Cap_08000;Gold;Gold;Gold;Dorado;Dorado;Or;Or;Dorato;Goud;金色;金色;ゴールド;골드;Золотой
1041_Cap_08610;Red;Red;Rot;Rojo;Rojo;Rouge;Rouge;Rosso;Rood;红色;紅色;あか;빨간색;Красный
1041_Cap_09753;Aqua;Aqua;Hellblau;Celeste;Turquesa;Bleu clair;Bleu pâle;Blu chiaro;Lichtblauw;水蓝色;水藍色;みずいろ;하늘색;Аквамариновый
1041_Cap_09754;Dark blue;Dark blue;Dunkelblau;Azul oscuro;Azul oscuro;Bleu foncé;Bleu foncé;Blu scuro;Donkerblauw;蓝紫色;紫藍色;こん;남색;Темно-синий
1041_Cap_09755;Golden yellow;Golden yellow;Goldgelb;Amarillo dorado;Amarillo dorado;Jaune orangé;Jaune orangé;Giallo oro;Goudgeel;金黄色;金黃色;やまぶきいろ;황금색;Золотисто-желтый
1041_Cap_09756;Purple;Purple;Lila;Púrpura;Morado;Violet;Mauve;Viola;Paars;紫色;紫色;むらさき;보라색;Фиолетовый
1041_Cap_09757;Pink;Pink;Rosa;Rosa;Rosa;Rose;Rose;Rosa;Roze;桃红色;桃紅色;ももいろ;분홍색;Розовый
1041_Cap_09758;Green;Green;Grün;Verde;Verde;Vert;Vert;Verde;Groen;绿色;綠色;みどり;초록색;Зеленый
1041_Cap_09759;Sky blue;Sky blue;Himmelblau;Azul cielo;Azul cielo;Bleu ciel;Bleu ciel;Azzurro cielo;Hemelsblauw;天蓝色;天空色;そらいろ;옥색;Лазурный
1042_Cap_08611;Pink;Pink;Rosa;Rosa;Rosa;Rose;Rose;Rosa;Roze;粉红;粉紅色;ピンク;핑크;Розовый
1042_Cap_10842;Blue;Blue;Blau;Azul;Azul;Bleu;Bleu;Blu;Blauw;蓝色;藍色;ブルー;블루;Синий
1042_Cap_10843;Black;Black;Schwarz;Negro;Negro;Noir;Noir;Nero;Zwart;黑色;黑色;ブラック;블랙;Черный
1042_Cap_10844;Purple;Purple;Lila;Púrpura;Morado;Violet;Mauve;Viola;Paars;紫色;紫色;パープル;퍼플;Фиолетовый
1042_Cap_10845;Orange;Orange;Orange;Naranja;Naranja;Orange;Orange;Arancio;Oranje;橘色;橘色;オレンジ;오렌지;Оранжевый
1042_Cap_10846;Green;Green;Grün;Verde;Verde;Vert;Vert;Verde;Groen;绿色;綠色;グリーン;그린;Зеленый
1042_Cap_10847;White;White;Weiß;Blanco;Blanco;Blanc;Blanc;Bianco;Wit;白色;白色;ホワイト;화이트;Белый
1043_Cap_08612;Navy blue;Navy blue;Marineblau;Azul marino;Azul marino;Bleu marine;Bleu marine;Blu marino;Marineblauw;海军蓝;海軍藍;ネイビー;네이비;Черно-синий
1043_Cap_11827;Black;Black;Schwarz;Negro;Negro;Noir;Noir;Nero;Zwart;黑色;黑色;ブラック;블랙;Черный
1043_Cap_11828;Light blue;Light blue;Hellblau;Celeste;Celeste;Bleu clair;Bleu pâle;Blu chiaro;Lichtblauw;浅蓝色;淺藍色;ライトブルー;라이트 블루;Голубой
1044_Cap_08613;Black;Black;Schwarz;Negro;Negro;Noir;Noir;Nero;Zwart;黑色;黑色;ブラック;블랙;Черный
1044_Cap_11821;Berry red;Berry red;Weinrot;Burdeos;Granate;Bordeaux;Bordeaux;Rosso lampone;Bessenrood;酒红色;酒紅色;ワインレッド;와인 레드;Ягодно-красный
1044_Cap_11822;Green;Green;Grün;Verde;Verde;Vert;Vert;Verde;Groen;绿色;綠色;グリーン;그린;Зеленый
1044_Cap_11823;White;White;Weiß;Blanco;Blanco;Blanc;Blanc;Bianco;Wit;白色;白色;ホワイト;화이트;Белый
1044_Cap_11824;Purple;Purple;Lila;Púrpura;Morado;Violet;Mauve;Viola;Paars;紫色;紫色;パープル;퍼플;Фиолетовый
1044_Cap_11825;Gray;Gray;Grau;Gris;Gris;Gris;Gris;Grigio;Grijs;灰色;灰色;グレー;그레이;Серый
1044_Cap_11826;Blue;Blue;Blau;Azul;Azul;Bleu;Bleu;Blu;Blauw;蓝色;藍色;ブルー;블루;Синий
1045_Cap_08614;Red;Red;Rot;Rojo;Rojo;Rouge;Rouge;Rosso;Rood;红色;紅色;レッド;레드;Красный
1045_Cap_10848;Yellow;Yellow;Gelb;Amarillo;Amarillo;Jaune;Jaune;Giallo;Geel;黄色;黃色;イエロー;옐로;Желтый
