label;English;English (Europe);German;Spanish;Spanish (US);French;French (US);Italian;Dutch;Chinese;Chinese (Traditional);Japanese;Korean;Russian
1008_Helmet_06092;Silver;Silver;Silber;Plateado;Plateado;Argent;Argent;Argentato;Zilver;银色;銀色;シルバー;실버;Серебряный
1008_Helmet_09749;Gold;Gold;Gold;Dorado;Dorado;Or;Or;Dorato;Goud;金色;金色;ゴールド;골드;Золотой
1008_Helmet_09750;Rose gold;Rose gold;Rosagold;Oro rosa;Oro rosa;Or rose;Or rose;Oro rosa;Roségoud;粉金色;玫瑰金;ピンクゴールド;핑크 골드;Розовое золото
1009_Helmet_06093;Pink;Pink;Rosa;Rosa;Rosa;Rose;Rose;Rosa;Roze;粉红;粉紅色;ピンク;핑크;Розовый
1009_Helmet_11894;Blue;Blue;Blau;Azul;Azul;Bleu;Bleu;Blu;Blauw;蓝色;藍色;ブルー;블루;Синий
1009_Helmet_11895;Purple;Purple;Lila;Púrpura;Morado;Violet;Mauve;Viola;Paars;紫色;紫色;パープル;퍼플;Фиолетовый
1009_Helmet_11896;Green;Green;Grün;Verde;Verde;Vert;Vert;Verde;Groen;绿色;綠色;グリーン;그린;Зеленый
1010_Helmet_06091;Gold;Gold;Gold;Dorado;Dorado;Or;Or;Dorato;Goud;金色;金色;ゴールド;골드;Золотой
1011_Helmet_05819;Hair Color;Hair Color;Haarfarbe;Color del pelo;Color del pelo;Couleur de cheveux;Couleur de cheveux;Colore dei capelli;Haarkleur;发色;頭髮顏色;ヘアカラー;헤어 컬러;Цвет волос
1012_Helmet_05832;Hair Color;Hair Color;Haarfarbe;Color del pelo;Color del pelo;Couleur de cheveux;Couleur de cheveux;Colore dei capelli;Haarkleur;发色;頭髮顏色;ヘアカラー;헤어 컬러;Цвет волос
1040_Helmet_08609;White;White;Weiß;Blanco;Blanco;Blanc;Blanc;Bianco;Wit;白色;白色;ホワイト;화이트;Белый
1113_Helmet_09862;Yellow;Yellow;Gelb;Amarillo;Amarillo;Jaune;Jaune;Giallo;Geel;黄色;黃色;イエロー;옐로;Желтый
1265_Helmet_13003;Orange;Orange;Orange;Naranja;Naranja;Orange;Orange;Arancio;Oranje;橘色;橘色;オレンジ;오렌지;Оранжевый
1265_Helmet_13398;Purple;Purple;Lila;Púrpura;Morado;Violet;Mauve;Viola;Paars;紫色;紫色;パープル;퍼플;Фиолетовый
1265_Helmet_13399;White;White;Weiß;Blanco;Blanco;Blanc;Blanc;Bianco;Wit;白色;白色;ホワイト;화이트;Белый
1265_Helmet_13400;Green;Green;Grün;Verde;Verde;Vert;Vert;Verde;Groen;绿色;綠色;グリーン;그린;Зеленый
1265_Helmet_13401;Red;Red;Rot;Rojo;Rojo;Rouge;Rouge;Rosso;Rood;红色;紅色;レッド;레드;Красный
1265_Helmet_13402;Black;Black;Schwarz;Negro;Negro;Noir;Noir;Nero;Zwart;黑色;黑色;ブラック;블랙;Черный
1266_Helmet_13002;Orange;Orange;Orange;Naranja;Naranja;Orange;Orange;Arancio;Oranje;橘色;橘色;オレンジ;오렌지;Оранжевый
1343_Helmet_13910;White;White;Weiß;Blanco;Blanco;Blanc;Blanc;Bianco;Wit;白色;白色;ホワイト;화이트;Белый
674_Helmet_05322;Green;Green;Grün;Verde;Verde;Vert;Vert;Verde;Groen;绿色;綠色;グリーン;그린;Зеленый
675_Helmet_05323;Red;Red;Rot;Rojo;Rojo;Rouge;Rouge;Rosso;Rood;红色;紅色;レッド;레드;Красный
675_Helmet_11836;Pink;Pink;Rosa;Rosa;Rosa;Rose;Rose;Rosa;Roze;粉红;粉紅色;ピンク;핑크;Розовый
675_Helmet_11837;Yellow;Yellow;Gelb;Amarillo;Amarillo;Jaune;Jaune;Giallo;Geel;黄色;黃色;イエロー;옐로;Желтый
675_Helmet_11838;Green;Green;Grün;Verde;Verde;Vert;Vert;Verde;Groen;绿色;綠色;グリーン;그린;Зеленый
675_Helmet_11839;Blue;Blue;Blau;Azul;Azul;Bleu;Bleu;Blu;Blauw;蓝色;藍色;ブルー;블루;Синий
675_Helmet_11840;Light blue;Light blue;Hellblau;Celeste;Celeste;Bleu clair;Bleu pâle;Blu chiaro;Lichtblauw;浅蓝色;淺藍色;ライトブルー;라이트 블루;Голубой
675_Helmet_11841;Light green;Light green;Hellgrün;Verde claro;Verde claro;Vert clair;Vert clair;Verde chiaro;Lichtgroen;浅绿色;淺綠色;ライトグリーン;라이트 그린;Светло-зеленый
675_Helmet_11842;Orange;Orange;Orange;Naranja;Naranja;Orange;Orange;Arancio;Oranje;橘色;橘色;オレンジ;오렌지;Оранжевый
676_Helmet_05324;White;White;Weiß;Blanco;Blanco;Blanc;Blanc;Bianco;Wit;白色;白色;ホワイト;화이트;Белый
677_Helmet_05325;Pink;Pink;Rosa;Rosa;Rosa;Rose;Rose;Rosa;Roze;粉红;粉紅色;ピンク;핑크;Розовый
677_Helmet_11700;Yellow;Yellow;Gelb;Amarillo;Amarillo;Jaune;Jaune;Giallo;Geel;黄色;黃色;イエロー;옐로;Желтый
677_Helmet_11701;White;White;Weiß;Blanco;Blanco;Blanc;Blanc;Bianco;Wit;白色;白色;ホワイト;화이트;Белый
678_Helmet_05326;Navy blue;Navy blue;Marineblau;Azul marino;Azul marino;Bleu marine;Bleu marine;Blu marino;Marineblauw;海军蓝;海軍藍;ネイビー;네이비;Черно-синий
678_Helmet_11702;Brown;Brown;Braun;Marrón;Marrón;Brun;Brun;Marrone;Bruin;棕色;棕色;ブラウン;브라운;Коричневый
678_Helmet_11703;White;White;Weiß;Blanco;Blanco;Blanc;Blanc;Bianco;Wit;白色;白色;ホワイト;화이트;Белый
679_Helmet_05327;Green;Green;Grün;Verde;Verde;Vert;Vert;Verde;Groen;绿色;綠色;グリーン;그린;Зеленый
679_Helmet_10826;Black;Black;Schwarz;Negro;Negro;Noir;Noir;Nero;Zwart;黑色;黑色;ブラック;블랙;Черный
679_Helmet_10827;Lime;Lime;Limettengrün;Lima;Verdoso;Citron vert;Lime;Limetta;Limoengroen;莱姆绿;萊姆綠;ライム;라임;Лаймовый
679_Helmet_10828;Red;Red;Rot;Rojo;Rojo;Rouge;Rouge;Rosso;Rood;红色;紅色;レッド;레드;Красный
679_Helmet_10829;Blue;Blue;Blau;Azul;Azul;Bleu;Bleu;Blu;Blauw;蓝色;藍色;ブルー;블루;Синий
680_Helmet_05328;White;White;Weiß;Blanco;Blanco;Blanc;Blanc;Bianco;Wit;白色;白色;ホワイト;화이트;Белый
682_Helmet_05330;Brown;Brown;Braun;Marrón;Marrón;Brun;Brun;Marrone;Bruin;棕色;棕色;ブラウン;브라운;Коричневый
682_Helmet_11704;Black;Black;Schwarz;Negro;Negro;Noir;Noir;Nero;Zwart;黑色;黑色;ブラック;블랙;Черный
682_Helmet_11705;Pink;Pink;Rosa;Rosa;Rosa;Rose;Rose;Rosa;Roze;粉红;粉紅色;ピンク;핑크;Розовый
682_Helmet_11706;Blue;Blue;Blau;Azul;Azul;Bleu;Bleu;Blu;Blauw;蓝色;藍色;ブルー;블루;Синий
683_Helmet_05331;Green;Green;Grün;Verde;Verde;Vert;Vert;Verde;Groen;绿色;綠色;グリーン;그린;Зеленый
683_Helmet_11696;Pink;Pink;Rosa;Rosa;Rosa;Rose;Rose;Rosa;Roze;粉红;粉紅色;ピンク;핑크;Розовый
686_Helmet_05334;Gray;Gray;Grau;Gris;Gris;Gris;Gris;Grigio;Grijs;灰色;灰色;グレー;그레이;Серый
687_Helmet_05335;Green;Green;Grün;Verde;Verde;Vert;Vert;Verde;Groen;绿色;綠色;グリーン;그린;Зеленый
687_Helmet_11697;Blue;Blue;Blau;Azul;Azul;Bleu;Bleu;Blu;Blauw;蓝色;藍色;ブルー;블루;Синий
687_Helmet_11698;Red;Red;Rot;Rojo;Rojo;Rouge;Rouge;Rosso;Rood;红色;紅色;レッド;레드;Красный
687_Helmet_11699;Yellow;Yellow;Gelb;Amarillo;Amarillo;Jaune;Jaune;Giallo;Geel;黄色;黃色;イエロー;옐로;Желтый
691_Helmet_05345;Blue;Blue;Blau;Azul;Azul;Bleu;Bleu;Blu;Blauw;蓝色;藍色;ブルー;블루;Синий
691_Helmet_11886;Red;Red;Rot;Rojo;Rojo;Rouge;Rouge;Rosso;Rood;红色;紅色;レッド;레드;Красный
691_Helmet_11887;Green;Green;Grün;Verde;Verde;Vert;Vert;Verde;Groen;绿色;綠色;グリーン;그린;Зеленый
692_Helmet_05346;Gold;Gold;Gold;Dorado;Dorado;Or;Or;Dorato;Goud;金色;金色;ゴールド;골드;Золотой
697_Helmet_05373;Green;Green;Grün;Verde;Verde;Vert;Vert;Verde;Groen;绿色;綠色;グリーン;그린;Зеленый
697_Helmet_11604;White;White;Weiß;Blanco;Blanco;Blanc;Blanc;Bianco;Wit;白色;白色;ホワイト;화이트;Белый
697_Helmet_11605;Yellow;Yellow;Gelb;Amarillo;Amarillo;Jaune;Jaune;Giallo;Geel;黄色;黃色;イエロー;옐로;Желтый
697_Helmet_11606;Berry red;Berry red;Weinrot;Burdeos;Granate;Bordeaux;Bordeaux;Rosso lampone;Bessenrood;酒红色;酒紅色;ワインレッド;와인 레드;Ягодно-красный
697_Helmet_11607;Blue;Blue;Blau;Azul;Azul;Bleu;Bleu;Blu;Blauw;蓝色;藍色;ブルー;블루;Синий
697_Helmet_11608;Turquoise;Turquoise;Türkis;Turquesa;Turquesa;Turquoise;Turquoise;Turchese;Turkoois;绿松石色;綠松色;ターコイズ;터콰이즈;Бирюзовый
697_Helmet_11609;Red;Red;Rot;Rojo;Rojo;Rouge;Rouge;Rosso;Rood;红色;紅色;レッド;레드;Красный
697_Helmet_11610;Black;Black;Schwarz;Negro;Negro;Noir;Noir;Nero;Zwart;黑色;黑色;ブラック;블랙;Черный
698_Helmet_05374;Black;Black;Schwarz;Negro;Negro;Noir;Noir;Nero;Zwart;黑色;黑色;ブラック;블랙;Черный
698_Helmet_11617;Flame orange;Flame orange;Feurig;Rojo;Rojo;Flamme;Flamme;Arancione fiamma;Vlammend oranje;火红色;火紅色;ファイアーカラー;파이어 컬러;Огненно-красный
698_Helmet_11618;Brown;Brown;Braun;Marrón;Marrón;Brun;Brun;Marrone;Bruin;棕色;棕色;ブラウン;브라운;Коричневый
698_Helmet_11619;Lime yellow;Lime yellow;Gelbgrün;Verde lima;Verde claro;Citron vert;Lime;Giallo limetta;Limoengeel;莱姆黄;萊姆黃;ライムイエロー;라임 옐로;Лимонно-желтый
698_Helmet_11620;Avocado;Avocado;Avocado;Verde bosque;Verde musgo;Vert kaki;Vert kaki;Avocado;Avocadogroen;卡其色;卡其色;カーキ;카키;Защитный
699_Helmet_05381;Red;Red;Rot;Rojo;Rojo;Rouge;Rouge;Rosso;Rood;红色;紅色;レッド;레드;Красный
702_Helmet_05386;Red;Red;Rot;Rojo;Rojo;Rouge;Rouge;Rosso;Rood;红色;紅色;あか;빨간색;Красный
702_Helmet_11877;Black;Black;Schwarz;Negro;Negro;Noir;Noir;Nero;Zwart;黑色;黑色;くろ;검은색;Черный
702_Helmet_11878;Blue;Blue;Blau;Azul;Azul;Bleu;Bleu;Blu;Blauw;蓝色;藍色;あお;파란색;Синий
702_Helmet_11879;White;White;Weiß;Blanco;Blanco;Blanc;Blanc;Bianco;Wit;白色;白色;しろ;하얀색;Белый
702_Helmet_11880;Golden yellow;Golden yellow;Goldgelb;Amarillo dorado;Amarillo dorado;Jaune orangé;Jaune orangé;Giallo oro;Goudgeel;金黄色;金黃色;やまぶきいろ;황금색;Золотисто-желтый
704_Helmet_05365;White;White;Weiß;Blanco;Blanco;Blanc;Blanc;Bianco;Wit;白色;白色;ホワイト;화이트;Белый
706_Helmet_05362;Brown;Brown;Braun;Marrón;Marrón;Brun;Brun;Marrone;Bruin;棕色;棕色;ブラウン;브라운;Коричневый
706_Helmet_11613;Black;Black;Schwarz;Negro;Negro;Noir;Noir;Nero;Zwart;黑色;黑色;ブラック;블랙;Черный
706_Helmet_11614;Avocado;Avocado;Avocado;Verde bosque;Verde musgo;Vert kaki;Vert kaki;Avocado;Avocadogroen;卡其色;卡其色;カーキ;카키;Защитный
707_Helmet_05363;Baby mint;Baby mint;Minzgrün;Turquesa pastel;Turquesa pastel;Turquoise pastel;Turquoise pastel;Menta pastello;Mintgroen;嫩薄荷色;粉嫩薄荷綠;ベビーミント;베이비 민트;Нежно-мятный
707_Helmet_11853;Baby purple;Baby purple;Lila;Morado pastel;Morado pastel;Violet pastel;Mauve pastel;Viola pastello;Paars;嫩紫色;粉嫩紫色;ベビーパープル;베이비 퍼플;Нежно-фиолетовый
707_Helmet_11854;Baby yellow;Baby yellow;Gelb;Amarillo pastel;Amarillo pastel;Jaune pastel;Jaune pastel;Giallo pastello;Geel;嫩黄色;粉嫩黃色;ベビーイエロー;베이비 옐로;Нежно-желтый
707_Helmet_11855;Baby green;Baby green;Grün;Verde pastel;Verde pastel;Vert pastel;Vert pastel;Verde pastello;Groen;嫩绿色;粉嫩綠色;ベビーグリーン;베이비 그린;Нежно-зеленый
707_Helmet_11856;Baby pink;Baby pink;Rosa;Rosa pastel;Rosa pastel;Rose pastel;Rose pastel;Rosa pastello;Roze;嫩粉红色;粉嫩粉紅色;ベビーピンク;베이비 핑크;Нежно-розовый
707_Helmet_11857;Baby gray;Baby gray;Grau;Gris pastel;Gris pastel;Gris pastel;Gris pastel;Grigio pastello;Grijs;嫩灰色;粉嫩灰色;ベビーグレー;베이비 그레이;Нежно-серый
707_Helmet_11858;Baby blue;Baby blue;Blau;Azul pastel;Azul pastel;Bleu pastel;Bleu pastel;Blu pastello;Blauw;嫩蓝色;粉嫩藍色;ベビーブルー;베이비 블루;Нежно-синий
707_Helmet_11859;Baby orange;Baby orange;Orange;Naranja pastel;Naranja pastel;Orange pastel;Orange pastel;Arancione pastello;Oranje;嫩橘色;粉嫩橘色;ベビーオレンジ;베이비 오렌지;Нежно-оранжевый
708_Helmet_05364;Dark blue;Dark blue;Dunkelblau;Azul oscuro;Azul oscuro;Bleu foncé;Bleu foncé;Blu scuro;Donkerblauw;蓝紫色;紫藍色;こん;남색;Темно-синий
708_Helmet_11870;Gray;Gray;Grau;Gris;Gris;Gris;Gris;Grigio;Grijs;灰色;灰色;はいいろ;회색;Серый
708_Helmet_11871;Red;Red;Rot;Rojo;Rojo;Rouge;Rouge;Rosso;Rood;红色;紅色;あか;빨간색;Красный
708_Helmet_11872;Purple;Purple;Lila;Púrpura;Morado;Violet;Mauve;Viola;Paars;紫色;紫色;むらさき;보라색;Фиолетовый
708_Helmet_11873;Aqua;Aqua;Hellblau;Celeste;Turquesa;Bleu clair;Bleu pâle;Blu chiaro;Lichtblauw;水蓝色;水藍色;みずいろ;하늘색;Аквамариновый
708_Helmet_11874;Green;Green;Grün;Verde;Verde;Vert;Vert;Verde;Groen;绿色;綠色;みどり;초록색;Зеленый
708_Helmet_11875;Yellow;Yellow;Gelb;Amarillo;Amarillo;Jaune;Jaune;Giallo;Geel;黄色;黃色;きいろ;노란색;Желтый
708_Helmet_11876;Orange;Orange;Orange;Naranja;Naranja;Orange;Orange;Arancione;Oranje;橘色;橘色;だいだい;귤색;Оранжевый
709_Helmet_05366;Red;Red;Rot;Rojo;Rojo;Rouge;Rouge;Rosso;Rood;红色;紅色;レッド;레드;Красный
709_Helmet_11596;Navy blue;Navy blue;Marineblau;Azul marino;Azul marino;Bleu marine;Bleu marine;Blu marino;Marineblauw;海军蓝;海軍藍;ネイビー;네이비;Черно-синий
709_Helmet_11597;Green;Green;Grün;Verde;Verde;Vert;Vert;Verde;Groen;绿色;綠色;グリーン;그린;Зеленый
709_Helmet_11598;Orange;Orange;Orange;Naranja;Naranja;Orange;Orange;Arancio;Oranje;橘色;橘色;オレンジ;오렌지;Оранжевый
709_Helmet_11599;Yellow;Yellow;Gelb;Amarillo;Amarillo;Jaune;Jaune;Giallo;Geel;黄色;黃色;イエロー;옐로;Желтый
711_Helmet_05368;Red;Red;Rot;Rojo;Rojo;Rouge;Rouge;Rosso;Rood;红色;紅色;レッド;레드;Красный
711_Helmet_11829;Blue;Blue;Blau;Azul;Azul;Bleu;Bleu;Blu;Blauw;蓝色;藍色;ブルー;블루;Синий
711_Helmet_11830;Green;Green;Grün;Verde;Verde;Vert;Vert;Verde;Groen;绿色;綠色;グリーン;그린;Зеленый
711_Helmet_11831;Pink;Pink;Rosa;Rosa;Rosa;Rose;Rose;Rosa;Roze;粉红;粉紅色;ピンク;핑크;Розовый
711_Helmet_11832;Black;Black;Schwarz;Negro;Negro;Noir;Noir;Nero;Zwart;黑色;黑色;ブラック;블랙;Черный
711_Helmet_11833;Yellow;Yellow;Gelb;Amarillo;Amarillo;Jaune;Jaune;Giallo;Geel;黄色;黃色;イエロー;옐로;Желтый
712_Helmet_05369;Red;Red;Rot;Rojo;Rojo;Rouge;Rouge;Rosso;Rood;红色;紅色;レッド;레드;Красный
713_Helmet_05370;Beige;Beige;Beige;Beis;Beige;Beige;Beige;Beige;Beige;米色;米色;ベージュ;베이지;Бежевый
713_Helmet_10944;Blue;Blue;Blau;Azul;Azul;Bleu;Bleu;Blu;Blauw;蓝色;藍色;ブルー;블루;Синий
713_Helmet_10945;Pink;Pink;Rosa;Rosa;Rosa;Rose;Rose;Rosa;Roze;粉红;粉紅色;ピンク;핑크;Розовый
713_Helmet_10946;Green;Green;Grün;Verde;Verde;Vert;Vert;Verde;Groen;绿色;綠色;グリーン;그린;Зеленый
