label;English;English (Europe);German;Spanish;Spanish (US);French;French (US);Italian;Dutch;Chinese;Chinese (Traditional);Japanese;Korean;Russian
Bromide_06426_0;Natural wood;Natural wood;Naturholz;Madera natural;Madera natural;Bois naturel;Bois naturel;Legno naturale;Naturel hout;自然木色;自然木色;ナチュラルウッド;내추럴 우드;Натуральное дерево
Bromide_06426_1;Dark wood;Dark wood;Dunkles Holz;Madera oscura;Madera oscura;Bois foncé;Bois foncé;Legno scuro;Donker hout;深木色;黑木色;ダークウッド;다크 우드;Темное дерево
Bromide_06426_2;Pastel;Pastel;Pastell;Tonos pastel;Pastel;Pastel;Pastel;Pastello;Pastel;粉嫩色;粉嫩色;パステル;파스텔;Пастельный
Bromide_06426_3;White;White;Weiß;Blanco;Blanco;Blanc;Blanc;Bianco;Wit;白色;白色;ホワイト;화이트;Белый
Bromide_06426_4;Pop;Pop;Pop;Pop;Pop;Pop;Pop;Pop;Spetterend;缤纷色;繽紛色;ポップ;팝;Яркий
Bromide_06426_5;Colorful;Colorful;Bunt;Multicolor;Multicolor;Multicolore;Multicolore;Variopinto;Veelkleurig;彩色;彩色;カラフル;컬러풀;Яркий
Bromide_06426_6;Silver;Silver;Silber;Plateado;Plateado;Argent;Argent;Argentato;Zilver;银色;銀色;シルバー;실버;Серебряный
Bromide_06426_7;Gold;Gold;Gold;Dorado;Dorado;Or;Or;Dorato;Goud;金色;金色;ゴールド;골드;Золотой
ChangeStick_07588_0;Ordinary mushroom;Ordinary mushroom;Gewöhnlicher Pilz;Común;Común;Champignon générique;Champignon générique;Fungo comune;Gewone paddenstoel;常见蘑菇;常見蘑菇;よくあるキノコ;흔한 버섯;Обычный гриб
ChangeStick_07588_1;White mushroom;White mushroom;Weißer Pilz;Blanco;Blanco;Champignon blanc;Champignon blanc;Fungo bianco;Witte paddenstoel;白色蘑菇;白色蘑菇;しろキノコ;하얀색 버섯;Белый гриб
ChangeStick_07588_2;Strange mushroom;Strange mushroom;Mysteriöser Pilz;Misterioso;Misterioso;Champignon bizarre;Champignon bizarre;Fungo strano;Vreemde paddenstoel;奇怪蘑菇;奇怪蘑菇;あやしいキノコ;수상한 버섯;Странный гриб
ChangeStick_07588_3;Red mushroom;Red mushroom;Roter Pilz;Rojo;Rojo;Champignon rouge;Champignon rouge;Fungo rosso;Rode paddenstoel;红色蘑菇;紅色蘑菇;あかキノコ;빨간색 버섯;Красный гриб
ChangeStick_07588_4;Yellow mushroom;Yellow mushroom;Gelber Pilz;Amarillo;Amarillo;Champignon jaune;Champignon jaune;Fungo giallo;Gele paddenstoel;黄色蘑菇;黃色蘑菇;きいろキノコ;노란색 버섯;Желтый гриб
DoorDeco_04377_0;Blue;Blue;Blau;Azul;Azul;Bleu;Bleu;Blu;Blauw;蓝色;藍色;ブルー;블루;Синий
DoorDeco_04377_1;Gold;Gold;Gold;Dorado;Dorado;Or;Or;Dorato;Goud;金色;金色;ゴールド;골드;Золотой
DoorDeco_04377_2;Silver;Silver;Silber;Plateado;Plateado;Argent;Argent;Argentato;Zilver;银色;銀色;シルバー;실버;Серебряный
DoorDeco_04377_3;Green;Green;Grün;Verde;Verde;Vert;Vert;Verde;Groen;绿色;綠色;グリーン;그린;Зеленый
DoorDeco_04377_4;Red;Red;Rot;Rojo;Rojo;Rouge;Rouge;Rosso;Rood;红色;紅色;レッド;레드;Красный
DoorDeco_04377_5;Light green;Light green;Hellgrün;Verde claro;Verde claro;Vert clair;Vert clair;Verde chiaro;Lichtgroen;浅绿色;淺綠色;ライトグリーン;라이트 그린;Светло-зеленый
DoorDeco_04377_6;Pink;Pink;Rosa;Rosa;Rosa;Rose;Rose;Rosa;Roze;粉红;粉紅色;ピンク;핑크;Розовый
DoorDeco_04377_7;Purple;Purple;Lila;Púrpura;Morado;Violet;Mauve;Viola;Paars;紫色;紫色;パープル;퍼플;Фиолетовый
DoorDeco_04738_0;Brown;Brown;Braun;Marrón;Marrón;Brun;Brun;Marrone;Bruin;棕色;棕色;ブラウン;브라운;Коричневый
DoorDeco_04738_1;White;White;Weiß;Blanco;Blanco;Blanc;Blanc;Bianco;Wit;白色;白色;ホワイト;화이트;Белый
DoorDeco_04751_0;Brown;Brown;Braun;Marrón;Marrón;Brun;Brun;Marrone;Bruin;棕色;棕色;ブラウン;브라운;Коричневый
DoorDeco_04751_1;White;White;Weiß;Blanco;Blanco;Blanc;Blanc;Bianco;Wit;白色;白色;ホワイト;화이트;Белый
DoorDeco_04751_2;Black;Black;Schwarz;Negro;Negro;Noir;Noir;Nero;Zwart;黑色;黑色;ブラック;블랙;Черный
DoorDeco_04751_3;Pink;Pink;Rosa;Rosa;Rosa;Rose;Rose;Rosa;Roze;粉红;粉紅色;ピンク;핑크;Розовый
DoorDeco_04751_4;Red;Red;Rot;Rojo;Rojo;Rouge;Rouge;Rosso;Rood;红色;紅色;レッド;레드;Красный
DoorDeco_04751_5;Yellow;Yellow;Gelb;Amarillo;Amarillo;Jaune;Jaune;Giallo;Geel;黄色;黃色;イエロー;옐로;Желтый
DoorDeco_04751_6;Blue;Blue;Blau;Azul;Azul;Bleu;Bleu;Blu;Blauw;蓝色;藍色;ブルー;블루;Синий
DoorDeco_04751_7;Natural wood;Natural wood;Naturholz;Madera natural;Madera natural;Bois naturel;Bois naturel;Legno naturale;Naturel hout;自然木色;自然木色;ナチュラルウッド;내추럴 우드;Натуральное дерево
DoorDeco_04752_0;Black;Black;Schwarz;Negro;Negro;Noir;Noir;Nero;Zwart;黑色;黑色;ブラック;블랙;Черный
DoorDeco_04752_1;White;White;Weiß;Blanco;Blanco;Blanc;Blanc;Bianco;Wit;白色;白色;ホワイト;화이트;Белый
DoorDeco_04752_2;Blue;Blue;Blau;Azul;Azul;Bleu;Bleu;Blu;Blauw;蓝色;藍色;ブルー;블루;Синий
DoorDeco_04752_3;Silver;Silver;Silber;Plateado;Plateado;Argent;Argent;Argentato;Zilver;银色;銀色;シルバー;실버;Серебряный
DoorDeco_04752_4;Ash brown;Ash brown;Aschbraun;Marrón ceniza;Marrón ceniza;Brun cendré;Brun cendré;Marrone cenerino;Asbruin;灰棕色;煙燻棕;アッシュブラウン;애시 브라운;Серо-коричневый
DoorDeco_04752_5;Gold;Gold;Gold;Dorado;Dorado;Or;Or;Dorato;Goud;金色;金色;ゴールド;골드;Золотой
DoorDeco_04752_6;Pink;Pink;Rosa;Rosa;Rosa;Rose;Rose;Rosa;Roze;粉红;粉紅色;ピンク;핑크;Розовый
DoorDeco_04752_7;Brown;Brown;Braun;Marrón;Marrón;Brun;Brun;Marrone;Bruin;棕色;棕色;ブラウン;브라운;Коричневый
DoorDeco_04764_0;Light blue;Light blue;Hellblau;Celeste;Celeste;Bleu clair;Bleu pâle;Blu chiaro;Lichtblauw;浅蓝色;淺藍色;ライトブルー;라이트 블루;Голубой
DoorDeco_04764_1;Red;Red;Rot;Rojo;Rojo;Rouge;Rouge;Rosso;Rood;红色;紅色;レッド;레드;Красный
DoorDeco_04764_2;Orange;Orange;Orange;Naranja;Naranja;Orange;Orange;Arancio;Oranje;橘色;橘色;オレンジ;오렌지;Оранжевый
DoorDeco_04764_3;Yellow;Yellow;Gelb;Amarillo;Amarillo;Jaune;Jaune;Giallo;Geel;黄色;黃色;イエロー;옐로;Желтый
DoorDeco_04764_4;Green;Green;Grün;Verde;Verde;Vert;Vert;Verde;Groen;绿色;綠色;グリーン;그린;Зеленый
DoorDeco_04764_5;Blue;Blue;Blau;Azul;Azul;Bleu;Bleu;Blu;Blauw;蓝色;藍色;ブルー;블루;Синий
DoorDeco_04764_6;Black;Black;Schwarz;Negro;Negro;Noir;Noir;Nero;Zwart;黑色;黑色;ブラック;블랙;Черный
DoorDeco_04764_7;Gray;Gray;Grau;Gris;Gris;Gris;Gris;Grigio;Grijs;灰色;灰色;グレー;그레이;Серый
DoorDeco_05309_0;Pink;Pink;Rosa;Rosa;Rosa;Rose;Rose;Rosa;Roze;粉红;粉紅色;ピンク;핑크;Розовый
DoorDeco_05309_1;Blue;Blue;Blau;Azul;Azul;Bleu;Bleu;Blu;Blauw;蓝色;藍色;ブルー;블루;Синий
DoorDeco_05309_2;Monotone;Monotone;Monochrom;Blanco y negro;Blanco y negro;Monochrome;Monochrome;Monocromo;Monotoon;单色配色;低調色;モノトーン;모노톤;Черно-белый
DoorDeco_05309_3;Light blue;Light blue;Hellblau;Celeste;Celeste;Bleu clair;Bleu pâle;Blu chiaro;Lichtblauw;浅蓝色;淺藍色;ライトブルー;라이트 블루;Голубой
DoorDeco_05309_4;Green;Green;Grün;Verde;Verde;Vert;Vert;Verde;Groen;绿色;綠色;グリーン;그린;Зеленый
DoorDeco_05309_5;Orange;Orange;Orange;Naranja;Naranja;Orange;Orange;Arancio;Oranje;橘色;橘色;オレンジ;오렌지;Оранжевый
DoorDeco_05309_6;Red;Red;Rot;Rojo;Rojo;Rouge;Rouge;Rosso;Rood;红色;紅色;レッド;레드;Красный
DoorDeco_05309_7;Purple;Purple;Lila;Púrpura;Morado;Violet;Mauve;Viola;Paars;紫色;紫色;パープル;퍼플;Фиолетовый
DoorDeco_05310_0;Black;Black;Schwarz;Negro;Negro;Noir;Noir;Nero;Zwart;黑色;黑色;ブラック;블랙;Черный
DoorDeco_05310_1;Yellow;Yellow;Gelb;Amarillo;Amarillo;Jaune;Jaune;Giallo;Geel;黄色;黃色;イエロー;옐로;Желтый
DoorDeco_05310_2;Green;Green;Grün;Verde;Verde;Vert;Vert;Verde;Groen;绿色;綠色;グリーン;그린;Зеленый
DoorDeco_05310_3;Pink;Pink;Rosa;Rosa;Rosa;Rose;Rose;Rosa;Roze;粉红;粉紅色;ピンク;핑크;Розовый
DoorDeco_05310_4;Purple;Purple;Lila;Púrpura;Morado;Violet;Mauve;Viola;Paars;紫色;紫色;パープル;퍼플;Фиолетовый
DoorDeco_05310_5;Red;Red;Rot;Rojo;Rojo;Rouge;Rouge;Rosso;Rood;红色;紅色;レッド;레드;Красный
DoorDeco_05310_6;Gray;Gray;Grau;Gris;Gris;Gris;Gris;Grigio;Grijs;灰色;灰色;グレー;그레이;Серый
DoorDeco_05310_7;Blue;Blue;Blau;Azul;Azul;Bleu;Bleu;Blu;Blauw;蓝色;藍色;ブルー;블루;Синий
DoorDeco_05716_0;Light wood;Light wood;Helles Holz;Madera clara;Madera clara;Bois clair;Bois clair;Legno chiaro;Licht hout;浅木色;淺木色;ライトウッド;라이트 우드;Светлое дерево
DoorDeco_05716_1;Light blue;Light blue;Hellblau;Celeste;Celeste;Bleu clair;Bleu pâle;Blu chiaro;Lichtblauw;浅蓝色;淺藍色;ライトブルー;라이트 블루;Голубой
DoorDeco_05716_2;Dark gray;Dark gray;Dunkelgrau;Gris oscuro;Gris oscuro;Gris foncé;Gris foncé;Grigio scuro;Donkergrijs;深灰色;深灰色;ダークグレー;다크 그레이;Темно-серый
DoorDeco_05716_3;Natural wood;Natural wood;Naturholz;Madera natural;Madera natural;Bois naturel;Bois naturel;Legno naturale;Naturel hout;自然木色;自然木色;ナチュラルウッド;내추럴 우드;Натуральное дерево
DoorDeco_05716_4;Dark brown;Dark brown;Dunkelbraun;Marrón oscuro;Marrón oscuro;Brun foncé;Brun foncé;Marrone scuro;Donkerbruin;深棕色;深棕色;ダークブラウン;다크 브라운;Темно-коричневый
DoorDeco_05716_5;White;White;Weiß;Blanco;Blanco;Blanc;Blanc;Bianco;Wit;白色;白色;ホワイト;화이트;Белый
DoorDeco_05716_6;Blue;Blue;Blau;Azul;Azul;Bleu;Bleu;Blu;Blauw;蓝色;藍色;ブルー;블루;Синий
DoorDeco_05716_7;Pink;Pink;Rosa;Rosa;Rosa;Rose;Rose;Rosa;Roze;粉红;粉紅色;ピンク;핑크;Розовый
DoorDeco_05717_0;Silver;Silver;Silber;Plateado;Plateado;Argent;Argent;Argentato;Zilver;银色;銀色;シルバー;실버;Серебряный
DoorDeco_05717_1;Gold & silver;Gold & silver;Gold-Silber;Dorado y plateado;Dorado y plateado;Or et argent;Or et argent;Oro e argento;Goud-zilver;金色&银色;金色&銀色;ゴールド＆シルバー;골드&실버;Золото с серебром
DoorDeco_05717_2;Silver & blue;Silver & blue;Silber-blau;Plateado y azul;Plateado y azul;Argent et bleu;Argent et bleu;Argento e blu;Zilver-blauw;银色&蓝色;銀色&藍色;シルバー＆ブルー;실버&블루;Синий с серебром
DoorDeco_05717_3;Red & white;Red & white;Rot-weiß;Rojo y blanco;Rojo y blanco;Rouge et blanc;Rouge et blanc;Rosso e bianco;Rood-wit;红色&白色;紅色&白色;レッド＆ホワイト;레드&화이트;Красно-белый
DoorDeco_05717_4;Silver & green;Silver & green;Silber-grün;Plateado y verde;Plateado y verde;Argent et vert;Argent et vert;Argento e verde;Zilver-groen;银色&绿色;銀色&綠色;シルバー＆グリーン;실버&그린;Зеленый с серебром
DoorDeco_05717_5;Colorful;Colorful;Bunt;Multicolor;Multicolor;Multicolore;Multicolore;Variopinto;Veelkleurig;彩色;彩色;カラフル;컬러풀;Яркий
DoorDeco_05718_0;Natural wood;Natural wood;Naturholz;Madera natural;Madera natural;Bois naturel;Bois naturel;Legno naturale;Naturel hout;自然木色;自然木色;ナチュラルウッド;내추럴 우드;Натуральное дерево
DoorDeco_05718_1;Brown;Brown;Braun;Marrón;Marrón;Brun;Brun;Marrone;Bruin;棕色;棕色;ブラウン;브라운;Коричневый
DoorDeco_05718_2;Dark brown;Dark brown;Dunkelbraun;Marrón oscuro;Marrón oscuro;Brun foncé;Brun foncé;Marrone scuro;Donkerbruin;深棕色;深棕色;ダークブラウン;다크 브라운;Темно-коричневый
DoorDeco_05718_3;Light brown;Light brown;Hellbraun;Marrón claro;Marrón claro;Marron clair;Brun pâle;Marrone chiaro;Lichtbruin;浅棕色;淺棕色;ライトブラウン;라이트 브라운;Светло-коричневый
